Nicolaus Copernicus|নিক'লাচ ক'পাৰ্নিকাচ
Narendra Modi|নৰেন্দ্ৰ মোডী
Indira Gandhi|ইন্দিৰা গান্ধী
Albrecht Dürer|এলব্ৰেখট ড্যুৰাৰ
Katsushika Hokusai|কাটুশ্বিকা হ'কচাই
Mao Zedong|মাও জে দঙ
Marie Curie|মেডাম কুৰী
Ingmar Bergman|ইংমাৰ বাৰ্গমেন
Archimedes|আৰ্কিমিডিছ
Muhammad|মুহাম্মাদ
A. P. J. Abdul Kalam|এ. পি. জে. আব্দুল কালাম
Salman Rashid Khan|চলমান খান
Harivansh Rai Bachchan|হৰিবংশ ৰায় বচ্চন
Émile Durkheim|ইমাইল ডুৰখেইম
Steve Jobs|ষ্টীভ জব্‌চ
Hermann Hesse|হেৰমান হেস
Taylor Swift|টেইলৰ ছুইফ্ট
Sonali Bendre|সোণালী বেন্দ্ৰে
Malala Yousafzai|মালালা ইউছুফজাই
Benjamin Franklin|বেঞ্জামিন ফ্ৰেংকলিন
Helen Keller|হেলেন কেলাৰ
Edward Jenner|এডৱাৰ্ড জেনাৰ
Daniel Defoe|ডেনিয়েল ডিফো
Genelia D'Souza|জেনেলিয়া ডিছুজা
Abdul Hamid Khan Bhashani|মৌলানা আব্দুল হামিদ খান ভাষাণী
Tenzing Norgay|টেনজিং নৰ্গে
Sidney Sheldon|ছিডনী শ্বেলডন
Mirza Ghalib|মিৰ্জা গালিব
Sania Mirza|ছানিয়া মিৰ্জা
Mahasweta Devi|মহাশ্বেতা দেৱী
Baby Halder|বেবী হালদাৰ
John Bosco|জন বস্ক'
Albert Bandura|এলবাৰ্ট বান্দুৰা
Aruna Irani|অৰুণা ইৰানী
Manoj Bajpai|মনোজ বাজপেয়ী
Robert Frost|ৰবাৰ্ট ফ্ৰ'ষ্ট
Ramakrishna|ৰামকৃষ্ণ পৰমহংস
Preity Zinta|প্ৰীতি জিণ্টা
Amir Khosrow|আমিৰ খশ্ৰু
Bhimrao Ramji Ambedkar|ভীমৰাও ৰামজী আম্বেদকাৰ
Mumtaz Mahal|মমতাজ মহল
Madhuri Dixit|মাধুৰী দীক্ষিত
Atal Bihari Vajpayee|অটল বিহাৰী বাজপায়ী
Lal Bahadur Shastri|লালবাহাদুৰ শাস্ত্ৰী
Syed Ali Ahsan|চৈয়দ আলী আহছান
Kasturba Gandhi|কস্তুৰবা গান্ধী
Paul Robeson|পল ৰ'বচন
Charaka|চৰক
Fakhruddin Ali Ahmed|ফখৰুদ্দিন আলি আহমেদ
Abhimanyu|অভিমন্যু
Satish Dhawan|সতীশ ধৱন
Mary Kom|মেৰী কম
Shruti Haasan|শ্ৰুতি হাচান
Nazrul Islam|কাজী নজৰুল ইছলাম
Bengt Holmström|বেংগেট ৰবাৰ্ট হল্মষ্টৰ্ম
Richard Thaler|ৰিচাৰ্ড থেলাৰ
Motilal Nehru|মতিলাল নেহৰু
Pavel Čmovš|পাভেল ম'ভ্চ
Oliver Hart|অলিভাৰ হাৰ্ট
Soha Ali Khan|চোহা আলী খান
Kira Muratova|কিৰা মুৰাট'ভা
Nayantara Sahgal|নয়নতৰা চেহগল
Saina Nehwal|ছাইনা নেহৱাল
Monica Ali|মনিকা আলী
Meena Kumari|মীনা কুমাৰী
Mira Nair|মীৰা নায়াৰ
Mahadevi Varma|মহাদেৱী বৰ্মা
Noor Jehan|নুৰ জাহান
Asin|আচিন
Lai Pei Jing|Li Pei Jing
Bina Rai|বীণা ৰায়
Nur Jahan|নুৰ জাহান
M. F. Husain|মকবুল ফিদা হুছেইন
Budai|বুদাই
Nawaf Al-Ahmad Al-Jaber Al-Sabah|নাওয়াফ আল-আহমেদ আল-জাবের আল-সাবাহ
Walter Lewin|ৱাল্টাৰ লুইন
Pooja Bhatt|পূজা ভাট
Joi Barua|জয় বৰুৱা
Bala Varman|বল বৰ্মা
Kalyana Varman|কল্যাণ বৰ্মা
Bhuti Varman|ভূতি বৰ্মা
Danielle Barry|Danielle Tahuri
Deepak Mondal|দীপক মণ্ডাল
Dipankar Bhattacharjee|দীপংকৰ ভট্টাচাৰ্য
Chintamani Nagesa Ramachandra Rao|চি এন আৰ ৰাও
Matsyendranath|মৎস্যেন্দ্ৰনাথ
William G. Kaelin|উইলিয়াম কেলিন জুনিয়ৰ
Kalpana Saroj|কল্পনা সৰোজ
Jasimuddin|জসীমউদ্দিন
Silk Smitha|চিল্ক স্মিতা
Lee Mou-Chou|Lee Mou-Chou
Bombayla Devi Laishram|বোম্বাইলা দেৱী লাইশ্ৰাম
Marianne Abrahams|Marianne van der Walt
Susan Cain|ছুছান কেইন
Raghunath Murmu|ৰঘুনাথ মুৰ্মু
Shiraz Minwalla|ছিৰাজ মিনৱালা
Mukesh|মুকেশ
Takuya Takehana|Takuya Takenaka
Sangamitta|সংঘামিত্ৰা
Agnivesa|অগ্নিৱেশ
Pranav Mistry|প্ৰণৱ মিস্ত্ৰী
Yuvraj Singh|যুৱৰাজ সিং
Mohit Chauhan|মোহিত চৌহান
Zoya Akhtar|জয়া আখটাৰ
Shakti Chattopadhyay|শক্তি চট্টোপাধ্যায়
Kamini Roy|কামিনী ৰায়
Ambika Soni|অম্বিকা সোনী
Basudeb Dasgupta|বাসুদেৱ দাসগুপ্ত
Rabindra Guha|ৰবীন্দ্ৰ গুহ
Rani Rashmoni|ৰাণী ৰাসমণি
Uday Shankar|উদয় শংকৰ
Saroj Khan|সৰোজ খান
Nitin Gadkari|নীতিন গাডকাৰী
Jaya Prada|জয়া প্ৰদা
Sucheta Kripalani|সুচেতা কৃপলানী
Mohan Bhagwat|মোহন ভাগৱত
B. Saroja Devi|বি. সৰোজা দেৱী
Rudrama Devi|ৰুদ্ৰমা দেৱী
Prafulla Kumar Mahanta|প্ৰফুল্ল কুমাৰ মহন্ত
Ajan Fakir|আজান ফকীৰ
Mrinal Miri|মৃণাল মিৰি
Malika Pukhraj|মলীকা পোখৰাজ
