George Washington|জর্জ ওয়াশিংটন
Douglas Adams|ডগলাস অ্যাডামস
George W. Bush|জর্জ ডব্লিউ. বুশ
Diego Velázquez|দিয়েগো বেলাসকেস
Augusto Pinochet|আউগুস্তো পিনোচে
Charles Baudelaire|শার্ল বোদলেয়ার
Nicolaus Copernicus|নিকোলাউস কোপার্নিকাস
Neil Young|নীল ইয়াং
Andrei Tarkovsky|আন্দ্রেই তার্কভ্‌স্কি
Plato|প্লেটো
Meryl Streep|মেরিল স্ট্রিপ
Donald Tusk|ডোনাল্ড টাস্ক
Andrei Sakharov|আন্দ্রে শাখারভ
Narendra Modi|নরেন্দ্র মোদী
Indira Gandhi|ইন্দিরা গান্ধী
Ban Ki-moon|বান কি মুন
Kofi Annan|কফি আনান
Leonard Cohen|লিওনার্ড কোহেন
Osama bin Laden|ওসামা বিন লাদেন
Friedrich Hayek|ফ্রিড‌রিশ ফন হায়ক
Richard Wagner|রিশার্ড ভাগনার
Ashton Eaton|অ্যাশটন ইটন
Olivier Giroud|অলিভিয়ে জিরু
Bacary Sagna|বাকারি সানিয়া
Jacques Chirac|জাক শিরাক
Georges Pompidou|জর্জ পোঁপিদু
Helmut Kohl|হেলমুট কোল
V. P. Kalairajan|ভি. পি. কালাইরান
Louis Aragon|লুই আরাগঁ
Michel Platini|মিশেল প্লাতিনি
Emily Dickinson|এমিলি ডিকিনসন
Mitt Romney|মিট রমনি
David Bowie|ডেভিড বোয়ি
Albrecht Dürer|আলব্রেখট ড্যুরার
Katsushika Hokusai|হোকুসাই
Abu Nuwas|আবু নুয়াস
Matsuo Bashō|মাৎসু বাসো
Mao Zedong|মাও ৎসে-তুং
Chuck Berry|চাক বেরি
Søren Kierkegaard|সোরেন কিয়ের্কেগার্ড
Marie Curie|মারি ক্যুরি
Simone de Beauvoir|সিমন দ্য বোভোয়ার
Ziying|জিয়িং
Sophocles|সোফোক্লেস
John Coltrane|জন কোল্ট্র্যান
Dorothy Hodgkin|ডরোথি মেরি হজকিন
Ögedei Khan|ওগেদাই খান
Ingmar Bergman|ইংমার বারিমান
Ivan IV Vasilyevich|চতুর্থ ইভান
Constantine the Great|মহান কন্সট্যান্টাইন
Peter the Great|রাশিয়ার প্রথম পিটার
Archimedes|আর্কিমিডিস
Augustin-Louis Cauchy|ওগুস্তাঁ লুই কোশি
Sima Qian|সিমা কিয়ান
Muhammad|মুহাম্মাদ
A. P. J. Abdul Kalam|এ. পি. জে. আবদুল কালাম
Salman Rashid Khan|সালমান খান
Martin Luther|মার্টিন লুথার
Harivansh Rai Bachchan|হরিবংশ রায় বচ্চন
Richard Nixon|রিচার্ড নিক্সন
Michael Schumacher|মিশাএল শুমাখার
Kelly Smith|কেলি স্মিথ
Lisa Raymond|লিসা রেমণ্ড
Tom Cleverley|টম ক্লেভারলি
Muḥammad ibn Jābir al-Ḥarrānī al-Battānī|আল বাত্তানী
Fulgencio Batista|ফুলগেনসিও বাতিস্তা
Anne Hutchinson|অ্যানে হাচিনসন
Thomas Jefferson|টমাস জেফারসন
John Tyler|জন টাইলার
James K. Polk|জেমস কে. পোক
James Buchanan|জেমস বিউকানান
Inna|ইন্না
Jean-Pierre Papin|জঁ-পিয়ের পাপাঁ
Luchino Visconti|লুকিনো ভিস্‌কন্তি
Moby|মোবি
William Herschel|উইলিয়াম হার্শেল
Charles Messier|চার্লস মেসিয়ার
Daniel Passarella|দানিয়েল পাসারেয়া
Émile Durkheim|এমিল দ্যুর্কেম
Mario Benedetti|মারিও বেনেদেত্তি
Vijaygupta Maurya|বিজয়গুপ্ত মৌর্য্য
Charles K. Kao|চার্লস কে. কাও
Bruce Lee|ব্রুস লি
Andy Lau|অ্যান্ডি লাউ
Edgar Allan Poe|এডগার অ্যালান পো
Pontius Pilatus|পন্তীয় পীলাত
Xavi Hernández|জাভি হার্নান্দেজ
Sappho|স্যাফো
Ryan Newman|রায়ান নিউম্যান
Edwin Mattison McMillan|এডউইন মাটিসন ম্যাকমিলান
Chester Bennington|চেস্টার বেনিংটন
Éver Banega|এভার বানেগা
Oscar|অস্কার দোস সান্তোস জুনিয়র
Steve Jobs|স্টিভ জবস
Juan Carlos I|স্পেনের প্রথম জুয়ান কার্লোস
Gustave Eiffel|গুস্তাভ এফেল
Zhu De|ঝু দে
Ricky Gervais|রিকি জারভেজ
Jimmy Carter|জিমি কার্টার
Orson Welles|অরসন ওয়েলস
Muhammad al-Jawad|মুহম্মদ আল-জওয়াদ
Kevin Spacey|কেভিন স্পেসি
Hermann Hesse|হেরমান হেস
Fred Lynn|ফ্রেড লিন
Carol Greider|ক্যারল গ্রেইডার‌
Taylor Swift|টেইলর সুইফট
