George Washington|જ્યોર્જ વૉશિંંગટન
Douglas Adams|ડગ્લાસ એડમ્સ
Plato|પ્લેટો
Narendra Modi|નરેન્દ્ર મોદી
Indira Gandhi|ઈન્દિરા ગાંધી
Jacques Chirac|જેક શિરાક
V. P. Kalairajan|વી. પી. ક્લાઈરાજન.
Marie Curie|મૅરી ક્યુરી
Archimedes|આર્કિમીડીઝ
Sima Qian|સિમા કીઆન
Muhammad|મુહમ્મદ
A. P. J. Abdul Kalam|અબ્દુલ કલામ
Salman Rashid Khan|સલમાન ખાન
Harivansh Rai Bachchan|હરિવંશરાય બચ્ચન
Lil Wayne|લિલ વેય્ન
Émile Durkheim|એમિલ દર્ખેમ
Vijaygupta Maurya|વિજયગુપ્ત મોર્ય
Bruce Lee|બ્રુસ લી
Edgar Allan Poe|એડગર ઍલન પો
Malala Yousafzai|મલાલા યુસુફઝઈ
Theodore Roosevelt|થિયોડોર રૂઝવેલ્ટ
Alexander Graham Bell|એલેક્ઝાન્ડર ગ્રેહામ બેલ
Alexander Fleming|એલેક્ઝાન્ડર ફ્લેમિંગ
Robert Koch|રોબર્ટ કોચ
Helen Keller|helen keller
Rudolf Mössbauer|રુડૉલ્ફ મોસબાઉઅર
Behramji Malabari|બહેરામજી મલબારી
Catherine Zeta-Jones|કેથરિન ઝેટા-જોન્સ
Arjan Bajwa|અરજણ બાજવા
Mehboob Khan|મહેબૂબ ખાન
Satish Alekar|સતિષ અલેકર
Shanta Shelke|શાંતા શેલકે
Tryambak Shankar Shejwalkar|ત્ર્યંબક શંકર શેજવલકર
Liam Neeson|લિયામ નિસન
Genelia D'Souza|જેનીલિયા ડિસોઝા દેશમુખ
Shripad Narayan Pendse|શ્રીપાદ નારાયણ પેન્ડસે
Elsa Einstein|એલ્સા આઇનસ્ટાઇન
Padamsinh Bajirao Patil|પદ્મસિંહ બાજીરાવ પાટીલ
John Milton|જોન મિલ્ટન
Harrison Ford|હેરિસન ફોર્ડ
Mirza Ghalib|મિર્ઝા ગાલિબ
Sammy Angott|સામી એંગોટ
Albert A. Michelson|આલ્બર્ટ અબ્રાહમ માઈકલસન
Bahadur Shah Zafar|બહાદુર શાહ ઝફર
Zulfiqar Ali Bhutto|ઝુલ્ફીકાર અલી ભુટ્ટો
Humphry Davy|હમ્ફ્રી ડેવી
Sania Mirza|સાનિયા મિર્ઝા
Nawaz Sharif|નવાઝ શરીફ
Danny Boyle|ડેની બોયલ
Mahasweta Devi|મહાશ્વેતા દેવી
Charles Lucien Bonaparte|ચાર્લ્સ લુસિઅન બોનાપાર્ટ
Kirron Kher|કિરણ ખેર
Aruna Irani|અરુણા ઈરાની
Bāṇabhaṭṭa|બાણભટ્ટ
Aishwarya R. Dhanush|ઐશ્વરીયા આર. ધનુષ
Satchidananda Saraswati|સ્વામી સચ્ચિદાનંદ
Ramakrishna|રામકૃષ્ણ પરમહંસ
Preity Zinta|પ્રીટિ ઝિન્ટા
Dido|ડિડો
Amir Khosrow|અમીર ખુશરો
Hariprasad Chaurasia|હરિપ્રસાદ ચૌરસિયા
John B. Watson|જે. બી. વોટસન
Bhimrao Ramji Ambedkar|બાબાસાહેબ આંબેડકર
Mumtaz Mahal|મુમતાઝ મહેલ
Madhuri Dixit|માધુરી દીક્ષિત
