George Washington|ಜಾರ್ಜ್ ವಾಷಿಂಗ್ಟನ್
Douglas Adams|ಡಗ್ಲಸ್ ಆಡಮ್ಸ್
George W. Bush|ಜಾರ್ಜ್ ಡಬ್ಲ್ಯು. ಬುಷ್
Nicolaus Copernicus|ನಿಕೋಲಸ್ ಕೋಪರ್ನಿಕಸ್
Plato|ಪ್ಲೇಟೊ
Meryl Streep|ಮೆರಿಲ್ ಸ್ಟ್ರೀಪ್
Narendra Modi|ನರೇಂದ್ರ ಮೋದಿ
Indira Gandhi|ಇಂದಿರಾ ಗಾಂಧಿ
Ban Ki-moon|ಬಾನ್ ಕೀ-ಮೂನ್
Kofi Annan|ಕೋಫಿ ಅನ್ನಾನ್
Osama bin Laden|ಒಸಾಮಾ ಬಿನ್ ಲಾಡೆನ್
Emily Dickinson|ಎಮಿಲಿ ಡಿಕಿನ್ಸನ್
Albrecht Dürer|ಅಲ್‍ಬ್ರೆಕ್ಟ್ ಡ್ಯೂರೆರ್
Mao Zedong|ಮಾಓ ತ್ಸೆ ತುಂಗ್
Marie Curie|ಮೇರಿ ಕ್ಯೂರಿ
Sophocles|ಸೊಫೊಕ್ಲಿಸ್
Agnes Pockels|ಆಗ್ನೆಸ್  ಪೊಕೆಲ್ಸ್
Grazia Deledda|ಗ್ರಾಸಿಯಾ ಡಾಲೆಡ್ದಾ
Archimedes|ಆರ್ಕಿಮಿಡೀಸ್
Augustin-Louis Cauchy|ಆಗಸ್ಟಿನ್-ಲೂಯಿ ಕೌಚಿ
Sima Qian|ಸಿಮಾ ಕಿಯಾನ್
Muhammad|ಮೊಹಮ್ಮದ್
A. P. J. Abdul Kalam|ಅಬ್ದುಲ್ ಕಲಾಮ್
Salman Rashid Khan|ಸಲ್ಮಾನ್‌ ಖಾನ್‌
Martin Luther|ಮಾರ್ಟಿನ್ ಲೂಥರ್
Harivansh Rai Bachchan|ಹರಿವಂಶ್‌ ರಾಯ್ ಬಚ್ಚನ್
Richard Nixon|ರಿಚರ್ಡ್ ನಿಕ್ಸನ್
Michael Schumacher|ಮೈಕೆಲ್ ಶೂಮಾಕರ್
Adele Goldberg|ಅಡೆಲೇ ಗೋಲ್ಡ್ಬರ್ಗ್
Thomas Jefferson|ಥಾಮಸ್ ಜೆಫರ್ಸನ್
James Buchanan|ಜೇಮ್ಸ್ ಬುಕಾನನ್
Donald Tsang|ಡೊನಾಲ್ಡ್ ಸಾಂಗ್
Montesquieu|ಮಾಂಟೆಸ್ಕ್ಯೂ
Bruce Lee|ಬ್ರೂಸ್ ಲೀ
Edwin Mattison McMillan|ಎಡ್ವಿನ್ ಎಮ್.ಮೆಕ್‌ಮಿಲನ್
Steve Jobs|ಸ್ಟೀವ್ ಜಾಬ್ಸ್
Gustave Eiffel|ಗುಸ್ತಾವ್ ಐಫೆಲ್
Jimmy Carter|ಜಿಮ್ಮಿ ಕಾರ್ಟರ್
Hermann Hesse|ಹರ್ಮನ್ ಹೆಸ್ಸೆ
Aksana|ಅಕ್ಸನ
Taylor Swift|ಟೈಲರ್ ಸ್ವಿಫ್ಟ್
Alodia Gosiengfiao|ಅಳೋದಿಆ  ಘೋಸಿಎಂಗಫಿತ್ವ್
Sonali Bendre|ಸೋನಾಲಿ ಬೇಂದ್ರೆ
Amantle Montsho|ಆಮಂತ್ಲ್  ಮೊಂಟಿಶೋ
Malala Yousafzai|ಮಲಾಲ ಯೂಸಫ್ ಝಾಯಿ
Baraguru Ramachandrappa|ಬರಗೂರು ರಾಮಚಂದ್ರಪ್ಪ
Theodore Roosevelt|ಥಿಯೋಡರ್ ರೂಸ್ವೆಲ್ಟ್
Misaki Doi|ಮಸಾಕಿ ಡೋಯ್
Alexander Graham Bell|ಅಲೆಕ್ಸಾಂಡರ್ ಗ್ರಹಾಂ ಬೆಲ್‌
Benjamin Franklin|ಬೆಂಜಮಿನ್ ಫ್ರ್ಯಾಂಕ್ಲಿನ್
Akiho Yoshizawa|ಅಕಿಹೋ  ಯೋಷಿಜವಾ
Alexis Texas|ಅಲೆಕ್ಸಿಸ್  ಟೆಕ್ಸಾಸ್
Alexander Fleming|ಅಲೆಕ್ಸಾಂಡರ್ ಫ್ಲೆಮಿಂಗ್‌
Alice Everett|ಆಲಿಸ್  ಎವೆರೆಟ್ಟ್
Robert Koch|ರಾಬರ್ಟ್ ಕಾಚ್
Helen Keller|ಹೆಲೆನ್ ಕೆಲರ್
Enya|ಎನ್ಯಾ
Nostradameus|ನಾಸ್ಟ್ರ ಡಮಸ್
Edward Jenner|ಎಡ್ವರ್ಡ್ ಜೆನ್ನರ್
Doris Lessing|ಡೋರಿಸ್ ಲೆಸ್ಸಿಂಗ್
Daniel Defoe|ಡೇನಿಎಲ್ ಡೆಫೊ
Henri Bergson|ಹೆನ್ರಿ ಬರ್ಗ್‍ಸನ್
Ivan Pavlov|ಇವಾನ್ ಪೆಟ್ರೋವಿಚ್ ಪಾವ್ಲೋವ್
Antoni van Leeuwenhoek|ಆಂಟನ್ ಲೂವೆನ್ ಹೊಕ್
Alexandre Alphonse|ಅಲೆಗ್ಸಾಂಡರ್ ಆಲ್ಪೋಂಝ್
Peter Altenberg|ಪೀಟರ್ ಆಲ್ಟೆನ್‍ಬರ್ಗ್
Ainsley Howard|ಐನ್ಸ್ಲೇಯ್  ಹೊವಾರ್ಡ್
Adeliza|ಅಡೆಲೈಝ
Behramji Malabari|ಬೆಹರಾಮ್ಜಿ ಮಲಬಾರಿ
Robert Hooke|ರಾಬರ್ಟ್ ಹುಕ್
Enrique Iglesias|ಎನ್ರಿಕೆ ಇಗ್ಲೇಷಿಯಸ್
Ivo Andrić|ಐವೋ ಆಂಡ್ರಿಕ್
Agustina Mayangsari|ಅಂಗುಸ್ಟಿನ ಮಾಯಾಂಗಸರಿ
Arjan Bajwa|ಅರ್ಜನ್ ಬಾಜ್ವ
Ludovico Ariosto|ಆರಿಯೋಸ್ಟೊ
Alexa Glatch|ಅಲೆಕ್ಸಾ  ಗ್ಲಾಟಿಕ್
Yasujirō Ozu|ಯಸುಜಿರೋ ಓಜ಼ು
Shreedhar Swami|ಶ್ರೀಧರ ಸ್ವಾಮಿಗಳು
Shanta Shelke|ಶಂತಾ ಶೆಲ್ಕೆ
Tryambak Shankar Shejwalkar|ತ್ರಯಂಬಕ್ ಶಂಕರ್ ಶೆಜ್ವಾಲ್ಕರ್
Govind Sakharam Sardesai|ಗೋವಿಂದ ಸಖಾರಾಮ್ ಸರ್‍ದೇಸಾಯಿ
