George Washington|जर्ज वासिङ्टन
George W. Bush|जर्ज डब्लु बुश
Plato|प्लेटो
Meryl Streep|मेरिल स्ट्रीप
Narendra Modi|नरेन्द्र मोदी
Indira Gandhi|इन्दिरा गान्धी
Ban Ki-moon|बान कि-मुन
Kofi Annan|कोफी अन्नान
Osama bin Laden|ओसामा बिन लादेन
Emily Dickinson|एम्लि डिकिन्सन
Mao Zedong|माओ त्से-तुंग
Marie Curie|मारिया क्युरी
Dorothy Hodgkin|डोरोथी हजकिन
Grazia Deledda|ग्राजिया डेलेड्डा
Peter the Great|पीटर महान
A. P. J. Abdul Kalam|अब्दुल कलाम
Salman Rashid Khan|सलमान खान
Martin Luther|मार्टिन लूथर
Harivansh Rai Bachchan|हरिवंश राय बच्चन
Thomas Jefferson|थोमस जेफर्सन
Bruce Lee|ब्रुस ली
Xavi Hernández|जावी हर्नान्डेज
Chester Bennington|चेस्टर बेनिंगटन
Steve Jobs|स्टिभ जब्स
Gustave Eiffel|गुस्ताभ आइफिल
Tracy Caldwell Dyson|ट्र्यासी क्याल्डवेल डायसन
Jimmy Carter|जिम्मी कार्टर
Klaas-Jan Huntelaar|क्लास-जान हन्टेलार
Taylor Swift|टेलर स्विफ्ट
Avril Lavigne|एभ्रिल लेभिन्ज
Sonali Bendre|सोनाली बेन्द्रे
Malala Yousafzai|मलाला युसुफजई
Alexander Graham Bell|अलेक्ज्याण्डर ग्राहम बेल
Gwyneth Paltrow|गेनिथ पाल्ट्रो
Alexis Texas|एलेक्सिस टेक्सास
Aria Giovanni|एरिया जिओभानी
Mila Kunis|मिला कुनिज
Helen Keller|हेलेन केलर
Doris Lessing|डोरिस लेसिङ्ग
Rosa Parks|रोजा पार्क्स
Wisława Szymborska|विसलावा जिम्बोस्का
Fernando Torres|फर्नान्डो टोरेस
Sitting Bull|सिटिङ बुल
Angus Young|अन्गुस योउङ्ग
Elfriede Jelinek|एलफ्रिड जेलीनेक
Catherine Zeta-Jones|क्याथरिन जिटा-जोन्स
Ilona Staller|इलोना स्टालर
Bimal Roy|बिमल राय
Mehboob Khan|महबूब खान
Ali Khamenei|अली खामेनी
Baburam Bhattarai|बाबुराम भट्टराई
Liam Neeson|लियाम निसन
Genelia D'Souza|जेनेलिया डिसुजा
Thibaut Courtois|थिबाउट कोर्टियस
Eduard Bernstein|एडुवार्ड बेर्नश्टाइन
John Milton|जोन मिल्टन
Tenzing Norgay|तेन्जिङ नोर्गे शेर्पा
Harrison Ford|हैरिसन फोर्ड
John Terry|जोन टेरी
Mirza Ghalib|मिर्जा गालिब
Bahadur Shah Zafar|बहादुर शाह जफर
Zulfiqar Ali Bhutto|जुल्फिकार अली भुट्टो
Sania Mirza|सानिया मिर्जा
Nawaz Sharif|नवाज शरिफ
Park Geun-hye|पार्क गेयुन हेई
Mahasweta Devi|महाश्वेता देवी
Émile Borel|एमिल बोरेल
Kirron Kher|किरण खेर
Aruna Irani|अरुणा ईरानी
Manoj Bajpai|मनोज बाजपेयी
Javier Hernández|ज्याभिअर हर्नाण्डेज
Usher|अस्स
Mary Carey|म्यारी केरी
Dani Alves|ड्यानियल एल्वस
Jean Tirole|जेन तिरोल
Katie Holmes|केटि होल्म्स
Alexis Sánchez|एलेक्सिस सान्चेज
Nicolás Otamendi|निकोलस ओतामेन्दी
Ramakrishna|रामकृष्ण परमहंस
Pitbull|पिटबुल
Preity Zinta|प्रीति जिन्टा
Rachel McAdams|रशेल म्याकऐड्म्स
Famke Janssen|फाम्की जेन्सेन
Zhang Zilin|झाङ जिलिन
Frances McDormand|फ्रान्सेस म्याकडोरमन्ड
Chandrika Kumaratunga|चन्द्रिका कुमारातुंगा
Amir Khosrow|अमीर खुसरो
Jordin Sparks|जोर्डन स्पार्क्स
Josh Hutcherson|जश हचर्सन
Lily Collins|लिली कोलिन्स
Carlos Gardel|कार्लोस गारडेल
Bhimrao Ramji Ambedkar|भीमराव अम्बेडकर
Mumtaz Mahal|मुमताज महल
Madhuri Dixit|माधुरी दीक्षित
Teagan Presley|टिगन प्रेस्ली
Atal Bihari Vajpayee|अटल बिहारी वाजपेयी
Gemma Ward|जेम्मा वार्ड
Liu Yang|लिउ याङ
Sophie Jonas|सोफी टर्नर
Cristina Bella|क्रिस्टिना बेल्ला
Riyo Mori|रियो मोरी
Alexis Amore|एलेक्सिस अमोरे
Lal Bahadur Shastri|लालबहादुर शास्त्री
Ally Sheedy|एल्ली सिडी
Cindy Crawford|सिन्डी क्रफोर्ड
May-Louise Flodin|मे-लुइस फ्लोडिन
Kasturba Gandhi|कस्तूरबा गान्धी
Hyapatia Lee|ह्यापासिया ली
Charaka|चरक
Adrenalynn|एड्रियाना लेन
Malaika Arora|मलाइका अरोडा खान
Miranda Otto|मिरेन्डा अट्टो
Arnold Vosloo|आर्नोल्ड भास्लो
Kei Nishikori|केई निशिकोरी
Tyrese Gibson|टाइरिस गिवसन
Donnie Yen|डोनी येन
Javad Nekounam|जाभेद नेकोउनाम
Fakhruddin Ali Ahmed|फखरुद्दीन अली अहमद
Abhimanyu|अभिमन्यु
Mary Kom|मेरी कोम
Shruti Haasan|श्रुति हासन
J. P. Dutta|जेपी दत्ता
Mandakini|मन्दाकिनी
Motilal Nehru|मोतीलाल नेहरू
Mangal Pandey|मंगल पाण्डे
Tanner Mayes|टान्नर मेज
Akshaye Khanna|अक्षय खन्ना
Sonia Baby|सोनिया बेबी
Sydnee Steele|सिड्नी स्टिल
Mika Tan|मिका टान
Soha Ali Khan|सोहा अली खान
Shannon Lucio|श्यान्नोन लुसिओ
Heather Hunter|हिदर हन्टर
Amber Smith|एम्बर स्मिथ
Barbara Jordan|बारबरा जोर्डन
Bunny Bleu|बन्नी ब्लेयू
Saina Nehwal|साइना नेहवाल
Padmini|पद्मिनी
Meena Kumari|मीना कुमारी
Mahadevi Varma|महादेवी वर्मा
Kiran Mazumdar-Shaw|किरण मजूमदार-शा
Victoria Givens|भिक्टोरिया गिभन्स
Linda Forsberg|लिन्डा फोर्सबर्ग
Ashwini Ponnappa|अश्विनी पोनप्पा
Asin|असिन
Edwin van der Sar|इड्वीन भेन डर सार
Luís Figo|लुइस फिगो
Rivaldo|रिभाल्डो
Luka Modrić|लुका मोड्रिच
Jack Black|ज्याक ब्ल्याक
Christine Lagarde|क्रिस्टिन लागार्द
Chris Pratt|क्रिस प्राट
Bina Rai|बीना राय
Angela Ahrendts|एन्जेला अहरेन्ड्ट्स
Pia Miranda|पिया मिरान्डा
Céline Tran|क्याट्सुनी
Chanel Preston|च्यानल प्रेस्टन
M. F. Husain|मकबुल फिदा हुसैन
Jackie Shroff|जैकी श्राफ
Nandita Das|नन्दिता दास
Nagendra Prasad Rijal|नगेन्द्रप्रसाद रिजाल
Virbhadra Singh|वीरभद्र सिंह
Steve Forbes|स्टिभ फोर्ब्स
Pooja Bhatt|पूजा भट्ट
Charlie Munger|चार्ल्स मङ्गर
Lindsey Meadows|लिन्ड्से मिडोस
Bam Bahadur Kunwar|बमबहादुर राणा
Kapil Sibal|कपिल सिब्बल
Chintamani Nagesa Ramachandra Rao|चिन्तामणी नागेश रामचन्द्र राव
Manoj Kumar|मनोज कुमार
Sharad Malhotra|शरद मल्होत्रा
Vidhu Vinod Chopra|विधु विनोद चोपडा
Muzaffar Ali|मुजफ्फर अली
Krishna Bahadur Mahara|कृष्णबहादुर महरा
Bombayla Devi Laishram|बोम्बायला देवी लैशराम
Sugriva|सुग्रीव
Smita Bansal|स्मिता बंसल
Sakshi Tanwar|साक्षी तन्वर
Cyrus Pallonji Mistry|सायरस मिस्त्री
Tony Greig|टोनी ग्रेग
Raageshwari|रागेश्वरी
Sadhana Sargam|साधना सरगम
Hansika Motwani|हंसिका मोटवानी
Kirti Nidhi Bista|कीर्तीनिधि विष्ट
Mohan Shamsher Jang Bahadur Rana|मोहन शमशेर जङ्गबहादुर राणा
Manoj Kumar|मनोज कुमार
Aiden Ashley|एडेन एस्ली
Mukesh|मुकेश
Tricia Devereaux|ट्रिसिया डेभेरेयक्स
Sabrine Maui|सब्रिन माउइ
Parmanand Jha|परमानन्द झा
Lisa Lipps|लिसा लिप्स
Baji Rao I|बाजीराव प्रथम
Misbah-ul-Haq|मिसवाह उल हक
SaRenna Lee|सरेना ली
Dominica Leoni|डोमिनिका लियोनी
Yuvraj Singh|युवराज सिंह
Vikram Bhatt|विक्रम भट्ट
Krishnakumarasinh Bhavasinh Gohil|कृष्णकुमारसिंह भावसिंह गोहिल
Abella Anderson|एबेल्ला एन्डरसन
Amshuverma|अंशुवर्मा
Mohit Chauhan|मोहित चौहान
Ashok Dinda|अशोक डिन्डा
Devon Lee|डेभन ली
Zoya Akhtar|जोया अख्तर
Haruki Mizuno|हारुकी मिजुनो
Paresh Rawal|परेश रावल
Shivraj Singh Chauhan|शिवराज सिंह चौहान
Lizz Tayler|लिज टेलर
Ebony Ayes|एबोनी आइज
Benegal Rama Rau|बेनेगल रामा राव
Shivshakti Sachdev|शिवशक्ति सचदेव
Nagarjun|वैद्यनाथ मिश्र 'यात्री'
Saroj Khan|सरोज खान
Gulshan Grover|गुलशन ग्रोवर
Upen Patel|उपेन पटेल
Neha Dhupia|नेहा धूपिया
Shiney Ahuja|शाइनी आहूजा
Jaya Prada|जयाप्रदा
S. Sreesanth|शान्ताकुमारन श्रीसन्त
Lakshmi Rai|लक्ष्मी राय
Mohan Bhagwat|मोहन भागवत
Nandana Sen|नन्दना सेन
Eoin Morgan|इयोन मोर्गन
Harmanpreet Kaur|हरमनप्रीत कौर
Dale Steyn|डेल स्टेन
C. Rangarajan|सी रङ्गराजन
Mohammad Shahzad|मोहम्मद शाहजाद
Saeed Admal|सईद अजमल
Rakhi Sawant|राखी सावन्त
Noriko Tatsumi|नोरिको तात्सुमी
Samantha Saint|सामन्था सेन्ट
Jiah Khan|जिया खान
Preeti Jhangiani|प्रीति झाङ्गियानी
Jacinda Ardern|जेसिन्डा एर्डर्न
Remy LaCroix|रेमि लाक्रोइक्स
Hazel Keech|हेजल कीच
Lalit Narayan Mishra|ललित नारायण मिश्र
Krishna Sobti|कृष्णा सोबती
Kalyan Singh|कल्याण सिंह
Dadu Dayal|दादूदयाल
Barkha Dutt|बरखा दत्त
Nicole Aniston|निकोल एनिस्टन
Billie Kay|बिली के
Princess Shruti of Nepal|अधिराजकुमारी श्रुति
Drashti Dhami|द्रष्टी धामी
Vibhavari Deshpande|विभावरी देशपाण्डे
Cara Lott|कारा लट
Aarti Chhabria|आरती छाबड़िया
Aasiya Kazi|आशिया काजी
Abhishek Pratap Shah|अभिषेक प्रताप शाह
Adah Sharma|अदा शर्मा
Aditya Roy Kapur|आदित्य रोय कपूर
Akshu Fernando|अक्षु फेर्नन्डो
Alia Bhatt|आलिया भट्ट
Amrapali Dubey|आम्रपाली दुबे
Angaraag Mahanta|पापोन
Diana Penty|डायना पेन्टी
Arjun Bijlani|अर्जुन बिज्लानी
Aroon Clansey|अरून क्ल्यानसे
Bal Narsingh Kunwar|बालनरसिंह कुँवर
Bimal Magar|विमल घर्ती मगर
Binod Das|विनोद दाश
Casey Dumont|क्यासी डुमन्ट
Puja Banerjee|पूजा बोस
Dayanand Shetty|दयानन्द शेट्टी
Dina Wadia|दीना वाडिया
Gauahar Khan|गौहर खान
Gauri Malla|गौरी मल्ल
Geeta Kapur|गीता कपूर
Ghulam Mustafa Khan|गुलाम मुस्तफा खान
Giaa Manek|जिया मानेक
Gurmeet Ram Rahim Singh|गुरमीत राम रहीम सिंह
Gyanendra Malla|ज्ञानेन्द्र मल्ल
Rao Raja Hanut Singh|राव राजा हनुत सिंह
Har Dayal|लाला हरदयाल
Himmanshoo A. Malhotra|हिमान्शु मल्होत्रा
Ram Vilas Paswan|रामविलास पासवान
Isha Talwar|इशा तलवार
Jay Bhanushali|जय भानुशाली
Joshna Chinappa|जोशना चिनप्पा
Kanika Kapoor|कनिका कपूर
Karan Wahi|करन वाही
Kortney Kane|कर्ट्नी केन
Kushal Tandon|कुशाल टण्डन
Lakshmi Menon|लक्ष्मी मेनन
Lalitha Lenin|ललिता लेनिन
Laxmi Narayan Tripathi|लक्ष्मी नारायण त्रिपाठी
Madan Krishna Shrestha|मदनकृष्ण श्रेष्ठ
Mehboob Alam|महबुब आलम
Mahesh Chhetri|महेश क्षेत्री
Malati Bedekar|मालती बेडेकर
Malvika Subba|माल्भिका सुब्बा
Sasha Banks|शाशा बेङ्क्स
Moeen Ali|मोईन अली
Mugdha Godse|मुग्धा गोडसे
Nidhi Razdan|निधि राजदान
Olivia Colman|ओलिभिया कोल्मेन
Paras Khadka|पारस खड्का
Pooja Gaur|पूजा गौर
Prachi Tehlan|प्राची तेहलान
Prasoon Joshi|प्रसून जोशी
Preeti Kaur|प्रीति कौर
Preeti Sagar|प्रीति सागर
Rajkummar Rao|राजकुमार राव
Raqesh Vashisth|राकेश वशिष्ठ
Rekha Bhardwaj|रेखा भारद्वाज
Remo D'Souza|रेमो डीसूजा
Richa Chadha|ऋचा चड्ढा
Sanaya Irani|सनाया ईरानी
Sanjay Khan|संजय खान
Sarah Jane Hamilton|सराह जेन ह्यामिल्टन
Shazia Ilmi|शाजिया इल्मी
Shraddha Arya|श्रद्धा अर्या
Nicole Oring|निकोल ओरिङ्ग
Sitaram Kattel|सिताराम कट्टेल
Sonarika Bhadoria|सोनारिका भदोरिया
Swapnil Joshi|स्वप्निल जोशी
Tulsi Ghimire|तुलसी घिमिरे
Upendra Mahato|उपेन्द्र महतो
Yuvika Chaudhary|युविका चौधरी
Zulfi Syed|जूलफि सैयद
Shakti Gauchan|शक्ति गौचन
Meera Sanyal|मीरा सन्याल
Rekha Thapa|रेखा थापा
Chandraghanta|चन्द्रघन्टा
Motilal|मोतीलाल
Raj Mehra|राज मेहरा
Subash Prasad Khakurel|सुवास खकुरेल
Mugdha Chaphekar|मुग्धा चाफेकर
Lopamudra Bhattacharji|लोपामुद्रा भट्टाचार्जी
Nivetha Tharseth|निवेथा थोमस
Rohit Roy|रोहित राय
Amrita Basnet|अमृता बस्नेत
Koili Devi Mathema|कोइलीदेवी
|मुगाली थापा
Balkrishna Sama|बालकृष्ण सम
Rakshya Rana|रक्षा राणा
Biraj Bhatta|विराज भट्ट
|संतोष पन्त
|सुस्मिता केसी
Sagar Pun|सागर पुन
Hemant Soren|हेमन्त सोरेन
Arundhati Bhattacharya|अरुन्धति भट्टाचार्य
Barsaman Pun|बर्षमान पुन
Basanti Kumal Chaudhari|बसन्ती कुमाल चौधरी
Nikita Singh|निकिता सिंह
Nalina Chitrakar|नलिना चित्रकार
Jaya Prakash Malla|जयप्रकाश मल्ल
Ankita Gaba|अङ्किता गाबा
Shakti Aurora|शक्ति अरोडा
Nischal Basnet|निश्चल बस्नेत
Nikki Galrani|निक्की गलरानी
Kanika Maheshwari|कनिका महेश्वरी
