George Washington|ജോർജ് വാഷിംഗ്ടൺ
Douglas Adams|ഡഗ്ലസ് ആഡംസ്
George W. Bush|ജോർജ്ജ് ഡബ്ല്യു. ബുഷ്
Diego Velázquez|ഡിയെഗോ വെലാസ്ക്വെസ്
Augusto Pinochet|ആഗസ്റ്റോ പിനോഷെ
Charles Baudelaire|ചാൾസ് ബോദ്‌ലെയർ
Nicolaus Copernicus|നിക്കോളാസ് കോപ്പർനിക്കസ്
Andrei Tarkovsky|ആന്ദ്രേ തർകോവ്സ്കി
Plato|പ്ലേറ്റോ
Meryl Streep|മെറിൽ സ്ട്രീപ്
Andrei Sakharov|ആന്ദ്രെ സാഖറഫ്
Narendra Modi|നരേന്ദ്ര മോദി
Indira Gandhi|ഇന്ദിരാ ഗാന്ധി
Hector Berlioz|ഹെക്ടർ ബെർലിയോസ്
Ban Ki-moon|ബൻ കി മൂൺ
Kofi Annan|കോഫി അന്നാൻ
Leonard Cohen|ലിയോനാർഡ് കോഹെൻ
Osama bin Laden|ഉസാമ ബിൻ ലാദൻ
Richard Wagner|റിച്ചാർഡ് വാഗ്നർ
Olivier Giroud|ഒലിവിയേ ജിറൂഡ്
Helmut Kohl|ഹെൽമുട് കോൾ
V. P. Kalairajan|വി. പി. കലൈരാജൻ
Michel Platini|മിഷേൽ പ്ലാറ്റിനി
Emily Dickinson|എമിലി ഡിക്കിൻസൺ
Anna Faris|അന്ന ഫാരിസ്
Mitt Romney|മിറ്റ് റോംനി
Claude Debussy|ക്ലോഡ് ഡെബ്യുസി
David Bowie|ഡേവിഡ് ബോയി
Albrecht Dürer|ആൽബ്രെട്ട് ഡ്യൂറർ
Katsushika Hokusai|ഹോകുസായി
Antonello da Messina|അന്തോനെല്ലോ ദ മെസ്സീന
Abu Nuwas|അബു നുവാസ്
Matsuo Bashō|മത്സുവോ ബാഷോ
Philippe Pétain|ഫിലിപ്പ് പേറ്റൻ
Masaccio|ജ്യോവാനി മസാക്കിയൊ
Mao Zedong|മാവോ സേതൂങ്
Mariya Savinova|മറിയ സവിനോവ
Chuck Berry|ചക്ക് ബെറി
Søren Kierkegaard|സോറൻ കീർക്കെഗാഡ്
Marie Curie|മേരി ക്യൂറി
Simone de Beauvoir|സിമോൺ ദ ബൊവ
Sophocles|സോഫക്കിൾസ്
Agnes Pockels|ആഗ്നസ് പൊക്കെൽസ്
Dorothy Hodgkin|ഡോറതി ഹോഡ്ജ്കിൻ
Ögedei Khan|ഒഗെദെയ് ഖാൻ
Ingmar Bergman|ഇങ്മർ ബർഗ്‌മൻ
Grazia Deledda|ഗ്രേസിയ ദേലേദ
Ivan IV Vasilyevich|ഇവാൻ നാലാമൻ
Constantine the Great|കോൺസ്റ്റന്റൈൻ ഒന്നാമൻ
Peter the Great|റഷ്യയിലെ പീറ്റർ ഒന്നാമൻ
Lorenzo di Credi|ലോറൻസോ ഡി ക്രെഡി
Archimedes|ആർക്കിമിഡീസ്
Sima Qian|സി-മാ ചിയാൻ
Muhammad|മുഹമ്മദ്
A. P. J. Abdul Kalam|എ.പി.ജെ. അബ്ദുൽ കലാം
Salman Rashid Khan|സൽമാൻ ഖാൻ
Martin Luther|മാർട്ടിൻ ലൂഥർ
Harivansh Rai Bachchan|ഹരിവംശ്റായ് ബച്ചൻ
Richard Nixon|റിച്ചാർഡ് നിക്സൺ
Michael Schumacher|മൈക്കൾ ഷൂമാക്കർ
Muḥammad ibn Jābir al-Ḥarrānī al-Battānī|അൽ-ബത്താനി
Fulgencio Batista|ഫുൾജെൻസിയോ ബാറ്റിസ്റ്റ
Adele Goldberg|അഡേൽ ഗോൾഡ്ബർഗ്
Thomas Jefferson|തോമസ് ജെഫേഴ്സൺ
John Tyler|ജോൺ ടൈലർ
James K. Polk|ജെയിംസ് പോൾക്ക്
James Buchanan|ജയിംസ് ബുക്കാനൻ
William Herschel|വില്യം ഹെർഷൽ
Charles Messier|ചാൾസ് മെസ്യേയ്
José Batlle y Ordóñez|José Batlle y Ordóñez
Lil Wayne|ലിൽ വെയ്ൻ
Émile Durkheim|എമിലി ദുർക്കെയിം
Montesquieu|മോണ്ടെസ്ക്യൂ
Charles K. Kao|ചാൾസ് കെ. കാവോ
Bruce Lee|ബ്രൂസ്‌ ലീ
Edgar Allan Poe|എഡ്ഗാർ അല്ലൻ പോ
Pontius Pilatus|പന്തിയോസ് പീലാത്തോസ്
Kathleen Antonelli|കാത്‌ലീൻ അന്റൊനെല്ലി
Sappho|സാഫോ
Rebecca Black|റെബേക്കാ ബ്ലാക്ക്
Chester Bennington|ചെസ്റ്റർ ബെന്നിംങ്ടൺ
Steve Jobs|സ്റ്റീവ് ജോബ്സ്
Gustave Eiffel|ഗുസ്താവ് ഈഫൽ
Tracy Caldwell Dyson|ട്രേസി കാൾവെൽ ഡയസൺ
Josephine Cochrane|ജോസഫീൻ കൊക്രെയ്ൻ
Ricky Gervais|റിക്കി ജെർവായിസ്
Jimmy Carter|ജിമ്മി കാർട്ടർ
Lila Downs|ളില ഡൊവ്ൻസ്
Orson Welles|ഓർസൺ വെൽസ്
John Cleese|ജോൺ ക്ലീസെ
Muhammad al-Jawad|മുഹമ്മദ് അത്തഖി
Hermann Hesse|ഹെർമൻ ഹെസ്സെ
Carol Greider|കാരൾ ഗ്രെയ്ഡർ
Taylor Swift|ടെയിലർ സ്വിഫ്റ്റ്
Melvil Dewey|മെൽവിൽ ഡ്യൂയി
Draco|ഡ്രാക്കോ
Diponegoro|ദിപോനെഗോറോ
Hayam Wuruk|ഹയാം വുറുക്ക്
Avril Lavigne|അവ്രിൽ ലാവിഗ്നെ
Caroline Wozniacki|കരോളിൻ വോസ്നിയാക്കി
Melanie Oudin|മെലനി ഓഡിൻ
Sonali Bendre|സോണാലി ബേന്ദ്രേ
Malala Yousafzai|മലാല യൂസഫ്സായ്
Theodore Roosevelt|തിയോഡർ റൂസ്‌വെൽറ്റ്
Alexander Graham Bell|അലക്സാണ്ടർ ഗ്രഹാം ബെൽ
Edmond Boissier|പിയറി എഡ്മണ്ട് ബോയിസിയേർ
Gwyneth Paltrow|ഗ്വിനെത്ത് പാൾട്രോ
Benjamin Franklin|ബെഞ്ചമിൻ ഫ്രാങ്ക്ലിൻ
Benjamin Harrison|ബെഞ്ചമിൻ ഹാരിസൺ
Emmy Rossum|എമ്മി റോസം
Alexis Texas|അലക്സിസ് ടെക്സസ്
Toshirō Mifune|തൊഷീരൊ മിഫൂൻ
Alexander Fleming|അലക്സാണ്ടർ ഫ്ലെമിങ്
Alexios IV Angelos|അലക്സിയസ് IV
Robert Koch|റോബർട്ട്‌ കോഖ്
John Paul I|ജോൺ പോൾ ഒന്നാമൻ മാർപ്പാപ്പ
Donatello|ഡോണറ്റെലോ
Luciano Pavarotti|ലൂച്ചാനോ പവറോട്ടി
Mila Kunis|മില കൂനിസ്
Helen Keller|ഹെലൻ കെല്ലർ
Enya|എനിയ
Hoodie Allen|ഹൂഡി അലൻ
Recep Tayyip Erdoğan|റെജപ് തയ്യിപ്‌ എർദ്വാൻ
Nostradameus|നോസ്ട്രഡാമസ്
Dilma Rousseff|ദിൽമ റൗസഫ്
Edward Jenner|എഡ്വേർഡ് ജെന്നർ
Doris Lessing|ഡോറിസ് ലെസ്സിങ്
Eva Perón|ഇവ പെറോൻ
Daniel Defoe|ഡാനിയൽ ഡീഫോ
Martin Scorsese|മാർട്ടിൻ സ്കോർസസെ
Michael Jordan|മൈക്കെൽ ജോർഡൻ
Ludwig Mies van der Rohe|ലുഡ്വിഗ് മീസ് വാൻ ഡെ റോഹ്
Axel Munthe|അക്സെൽ മുൻതെ
Kristina M. Johnson|ക്രിസ്റ്റീന എം. ജോൺസൺ
Thucydides|തുസ്സിഡിഡീസ്
Rosa Parks|റോസ പാർക്സ്
Democritus|ഡെമോക്രിറ്റസ്
Henri Bergson|ഹെൻറി ബേർഗ് സൺ
Wisława Szymborska|വിസ്ലാവ സിംബോർസ്ക
Fernando Torres|ഫെർണാണ്ടോ ടോറസ്
Leif Erikson|ലീഫ് എറിക്സൺ
Dustin Hoffman|ഡസ്റ്റിൻ ഹോഫ്മാൻ
Ivan Pavlov|ഇവാൻ പാവ് ലോവ്
Manoel de Oliveira|മാനുവെൽ ഡി ഒലിവേറ
Antoni van Leeuwenhoek|ആന്റൺ വാൻ ലീവാൻഹോക്ക്
Sitting Bull|സിറ്റിംഗ് ബുൾ
Ambrose|അംബ്രോസ്
Vlad Tepes|വ്ലാദ് മൂന്നാമൻ
Werner Herzog|വെർണർ ഹെർസോഗ്
Ignatius of Loyola|ഇഗ്നേഷ്യസ് ലൊയോള
Rudolf Mössbauer|റുഡോൾഫ് മോസ്ബർ
Hans Christian Ørsted|ഹാൻസ് ക്രിസ്റ്റ്യൻ ഓർ‌സ്റ്റെഡ്
Eduardo Galeano|എഡ്വാർദൊ ഗലിയാനൊ
Jack London|ജാക്ക് ലണ്ടൻ
Behramji Malabari|ബെഹ്റാംജി മലബാറി
Melissa Benoist|മെലിസ്സ ബെനോയിസ്റ്റ്
Robert Hooke|റോബർട്ട് ഹുക്ക്
I. M. Pei|ഐ.എം.പെയ്
Khaled Mashal|ഖാലിദ് മിശ്‌അൽ
Enrique Iglesias|എൻ‌റികെ ഇഗ്ലേസിയാസ്
Sylvester I|സിൽ‌വെസ്റ്റർ ഒന്നാമൻ മാർപ്പാപ്പ
Elfriede Jelinek|എൽഫ്രീഡ യെലിനെക്
Catherine Zeta-Jones|കാതറീൻ സെറ്റ ജോൺസ്
Ernst Haeckel|ഏണസ്റ്റ് ഹെക്കൽ
Arjan Bajwa|അർജൻ ബാജ്‌വ
Ludovico Ariosto|ലുഡോവിക്കോ അരിസ്റ്റോ
Isaak Babel|ഇസാക് ബബെൽ
Dan Quayle|ദാൻ ക്വയ്‌ലെ
Walter Mondale|വാൾട്ടർ മൊൺഡെയിൽ
James Bryant Conant|ജെയിംസ് ബ്രയന്റ് കോണന്റ്
Arthur Ashe|ആർതർ ആഷ്
Enver Hoxha|എൻവർ ഹോജ
Nikita Mikhalkov|നികിത മിഖാൽകോവ്
Mohsen Makhmalbaf|മൊഹ്സെൻ മഖ്മൽബഫ്
Bimal Roy|ബിമൽ റോയി
Leni Riefenstahl|ലെനി റീഫൻസ്റ്റാൾ
Satish Alekar|സതീഷ് അലേക്കർ
Chintaman Vinayak Vaidya|ചിന്താമൻ വിനായക് വൈദ്യ
Tryambak Shankar Shejwalkar|ത്രയാംബക് ശങ്കർ ഷെജ്‌വാൾക്കർ
Govind Sakharam Sardesai|ഗോവിന്ദ് സഖാരം സർദേശായി
Pandurang Sadashiv Sane|പാണ്ഡുരംഗ് സദാശിവ് സാനെ
Max von Laue|മാക്സ് വോൺ ലോ
Adolf von Baeyer|അഡോൾഫ് വോൺ ബയർ
Erich Fromm|എറിക് ഫ്രോം
Yoweri Museveni|യൊവേരി മസെവെനി
Abdullah of Saudi Arabia|അബ്ദുള്ള രാജാവ്
Ali Khamenei|ആയത്തുല്ല അലി ഖാം‌നഇ
Kurt Tucholsky|കുർട്ട് ടുഷോൽസ്കി
Carl Stumpf|കാൾ സ്റ്റംഫ്
Roland Freisler|റൊളാങ് ഫ്രൈസ്ലർ
Yingluck Shinawatra|യിങ്ലക് ഷിനവത്ര
Hamadi Jebali|ഹമാദി ജബാലി
Antonis Samaras|ആന്റണീസ് സമരാസ്
Baburam Bhattarai|ബാബുറാം ഭട്ടറായി
Julius Richard Petri|ജൂലിയസ് റിച്ചാർഡ് പെട്രി
Johannes Peter Müller|ജൊഹാനസ് പീറ്റർ മുള്ളർ
Ernst Chain|ഏൺസ്റ് ചെയിൻ
Abhijeet Montgomery Lawrence|ഹെൻറി ലോറൻസ്
Max Born|മാക്സ് ബോൺ
Diogenes of Sinope|ഡയോജനസ്
Jenny d'Héricourt|ജെന്നി ഡി ഹെറികോർട്ട്
George Gamow|ജോർജ് ഗാമോ
Hermann von Helmholtz|ഹെർമൻ വോൺ ഹെൽംഹോൾട്സ്
Gottlob Frege|ഫ്രീഡ്രിക് ലൂഡ്വിഗ് ഗോട്ട്ലൂബ് ഫ്രീഗ്
Oskar Schindler|ഓസ്കാർ ഷിൻഡ്ലർ
Albert Speer|ആൽബർട്ട് സ്പീയർ
Ansel Adams|ആൻസൽ ആഡംസ്
Rose Ausländer|റോസ ഔസ്ലാൻഡർ
Theodor Lessing|തിയോഡോർ ലെസ്സിംഗ്
Ludwig Büchner|ലുഡ്‌വിഗ് ബൂഷ്‌നർ
Marc Andreessen|മാർക്ക് ആൻഡ്രീസൺ
Peter Norton|പീറ്റർ നോർട്ടൺ
Herman Pilnik|ഹെർമൻ പിൽനിക്
Genelia D'Souza|ജെനീലിയ ഡിസൂസ
Walter Hohmann|വാൽടെർ ഹോമാൻ
Richard Assmann|റിച്ചാർഡ് അസ്മൻ
Carl Einstein|കാൾ ഐൻസ്റ്റീൻ
Heinrich Eduard Jacob|ഹെൻറിച്ച് എഡ്വാഡ് ജേക്കബ്
Shripad Narayan Pendse|ശ്രീപാദ് നാരായൺ പെൻഡ്‌സെ
Nathaniel Hawthorne|നഥാനിയേൽ ഹാത്തോൺ
Ajmal Kasab|അജ്മൽ കസബ്
Toussaint de Charpentier|ടൗസെന്റ് ദെ ചാർപ്പെന്റിയർ
Carl Wilhelm Scheele|കാൾ ഷീലി
Lily Braun|ലിലി ബ്രൌൺ
Friedrich Accum|ഫ്രീഡറിഷ് അക്കും
Helene Stöcker|ഹെലൻ സ്റ്റോക്കർ
Thibaut Courtois|തിബൗട്ട് കോർട്ടോയിസ്
Maria Cavaco Silva|മരിയ കവാക്കോ സിൽവ
B. C. Shekhar|ബി.സി. ശേഖർ
Friedrich Bessel|ഫ്രെഡെറിക്ക് ബെസെൽ
Christian Gottfried Daniel Nees von Esenbeck|കൃസ്ത്യൻ ഗോട്‌ഫ്രീഡ് ഡാനിയേൽ നീസ് വൺ എസെൻബെക്ക്
Emil Adolf von Behring|എമിൽ വോൺ ബെയ്റിങ്
Carl von Clausewitz|കാൾ വോൺ ക്ലൂസ്വിറ്റ്സ്
Eva Braun|ഇവാ ബ്രൗൺ
Heinrich Mann|ഹെയ്ൻറിച്ച് മാൻ
Rainer Maria Rilke|റയിനർ മരിയ റിൽക്കെ
Paul Heyse|പോൾ ഹെയ്സ്
Johannes Agricola|ജോഹാൻ അഗ്രിക്കോള
Carl Gustav Jacob Jacobi|കാൾ ഗുസ്തവ് ജേക്കബ് ജക്കോബി
Heinrich Cornelius Agrippa|അഗ്രിപ്പ ഫോൺ നെറ്റേഷീം
Johann Ernst Hanxleden|അർ‌ണ്ണോസ് പാതിരി
Karl Kautsky|കാൾ കൌട്സ്കി
Jakob van Hoddis|ജേക്കബ് വാൻ ഹോഡിസ്
