Narendra Modi|ꯅꯔꯦꯟꯗ꯭ꯔꯥ ꯃꯣꯗꯤ
Marie Curie|ꯃꯦꯔꯤ ꯀꯨꯔꯤ
Shruti Haasan|ꯁ꯭ꯔꯨꯇꯤ ꯍꯥꯁꯟ
Hijam Irabot|ꯍꯤꯖꯝ ꯏꯔꯥꯕꯣꯠ
Sophia Williams-De Bruyn|ꯁꯣꯐꯤꯌꯥ ꯋꯤꯂꯤꯌꯝꯁ-ꯗꯦ ꯕ꯭ꯔꯨꯌꯟ
Chandraghanta|ꯆꯟꯗ꯭ꯔꯘꯟꯇꯥ
Saad Lamjarred|ꯁꯥꯗ ꯂꯝꯖꯔꯔꯦꯗ
Basshunter|Basshunter
Simon von Stampfer|ꯁꯥꯢꯃꯣꯟ ꯚꯣꯟ ꯁ꯭ꯇꯥꯝꯐꯔ
Nongthombam Biren Singh|ꯅꯣꯡꯊꯣꯝꯕꯝ ꯕꯤꯔꯦꯟ
Huevito Rey|ꯑꯣꯃꯥꯔ ꯕꯣꯔꯀꯟ ꯑꯜ ꯒꯂꯥ
Lin Laishram|ꯂꯤꯟ ꯂꯥꯢꯁ꯭ꯔꯝ
Aristotle|ꯑꯦꯔꯤꯁꯇꯣꯇꯜ
Tamannaah|ꯇꯃꯟꯅꯥ ꯚꯥꯇꯤꯌꯥ
Kajal Aggarwal|ꯀꯥꯖꯜ ꯑꯒꯔꯋꯥꯜ
Gurumayum Bonny|ꯒꯨꯔꯨꯃꯌꯨꯝ ꯕꯣꯟꯅꯤ
Romi Meitei|ꯔꯣꯃꯤ ꯃꯩꯇꯩ
Yanting Ma|Yanting Ma
Albert Einstein|ꯑꯜꯕꯔ꯭ꯠ ꯑꯥꯢꯟꯁ꯭ꯇꯥꯢꯟ
Tang of Shang|ꯁꯥꯡ ꯀꯤ ꯇꯥꯡ
Wangkhemcha Chingtamlen|ꯋꯥꯡꯈꯦꯝꯆꯥ ꯆꯤꯡꯇꯝꯂꯦꯟ
Dmitry Anatolyevich Bukhman|ꯗꯤꯃꯤꯇ꯭ꯔꯤ ꯕꯨꯈꯃꯦꯟ
Kuranganayani|ꯀꯨꯔꯪꯒꯅꯌꯅꯤ
Ludu Daw Amar|ꯂꯨꯗꯨ ꯗꯋ ꯑꯃꯔ
Bala Hijam|ꯕꯥꯂꯥ ꯍꯤꯖꯝ
Iboyaima Khuman|ꯏꯕꯣꯌꯥꯏꯃꯥ ꯈꯨꯃꯟ
Gautama Buddha|ꯒꯧꯇꯝ ꯕꯨꯗ꯭ꯙ
Irom Chanu Sharmila|ꯏꯔꯣꯝ ꯆꯅꯨ ꯁꯔꯃꯤꯂꯥ
Le Corbusier|ꯂꯦ ꯀꯣꯔꯕꯨꯁꯤꯑꯔ
Francisco Goya|ꯒꯣꯌꯥ, ꯐ꯭ꯔꯥꯟꯁꯤꯁꯀꯣ ꯗꯦ
Aishwarya Rai|ꯑꯥꯏꯁꯋꯥꯔꯤꯌꯥ ꯔꯥꯏ
Vasudeva|ꯚꯁꯨꯗꯦꯕ
Ngangom Bala Devi|ꯉꯥꯡꯉꯣꯝ ꯕꯂꯥ
Licypriya Kangujam|ꯂꯤꯁꯤꯄ꯭ꯔꯤꯌꯥ ꯀꯥꯡꯉꯨꯖꯝ
Brinsley Rankine Le Fanu|ꯕ꯭ꯔꯤꯟꯁꯂꯦ ꯔꯥꯟꯀꯥꯏꯟ ꯂꯦ ꯐꯥꯅꯨ
