George Washington|जॉर्ज वॉशिंग्टन
Douglas Adams|डग्लस अॅडम्स
George W. Bush|जॉर्ज डब्ल्यू. बुश
Diego Velázquez|दियेगो व्हेलाझ्केझ
Augusto Pinochet|ऑगुस्तो पिनोचे
Nicolaus Copernicus|निकोलस कोपर्निकस
Plato|प्लेटो
Meryl Streep|मेरिल स्ट्रीप
Donald Tusk|डोनाल्ड टस्क
Andrei Sakharov|आंद्रेई सखारोव्ह
Narendra Modi|नरेंद्र मोदी
Indira Gandhi|इंदिरा गांधी
Hector Berlioz|एक्तॉर बर्लियोझ
Ban Ki-moon|बान की-मून
Kofi Annan|कोफी अन्नान
Osama bin Laden|ओसामा बिन लादेन
Otho|मार्कस साल्व्हियस ओथो
Titus|टायटस
Richard Wagner|रिचर्ड वॅग्नर
Gordian III|गॉर्डियन तिसरा
Olivier Giroud|ओलिवर गिरौद
Yann M'Vila|यान एम'विला
Sidney Govou|सिडनी गोव्हू
Djibril Cissé|ड्जिब्रिल सिसे
Bacary Sagna|बकॅरी सग्ना
Jacques Chirac|जाक शिराक
Georges Pompidou|जोर्ज पाँपिदु
Ludwig Erhard|लुडविग एर्हार्ड
Helmut Kohl|हेल्मुट कोल
Richard von Weizsäcker|रिचर्ड फॉन वायझॅकर
Wilhelm II|विल्हेल्म दुसरा, जर्मन सम्राट
Michel Platini|मिशेल प्लाटिनी
Emily Dickinson|एमिली डिकिंसन
Mitt Romney|मिट रॉम्नी
Albrecht Dürer|आल्ब्रेख्त ड्यूरर
Abu Nuwas|अबु नुवास
Matsuo Bashō|मात्सुओ बाशो
Mao Zedong|माओ त्झ-तोंग
Hebe Camargo|हेबे कामार्हो
Marie Curie|मेरी क्युरी
Simone de Beauvoir|सिमोन दि बोव्हा
Sophocles|सोफोक्लेस
Otto Frank|ऑटो फ्रॅंक
Margot Frank|मार्गो फ्रॅंक
Dorothy Hodgkin|डोरोथी क्रोफूट हॉजकिन
Ögedei Khan|ओगदेई खान
Ingmar Bergman|इंगमार बर्गमन
