George Washington|जर्ज वासिङ्टन
Douglas Adams|डगलस एडम्स
George W. Bush|जर्ज डब्लू बुस
Diego Velázquez|डिएगो भेलाज्केज
Augusto Pinochet|अगस्टो पिनोसेत
Charles Baudelaire|चार्ल्स बाउडेलायर
Nicolaus Copernicus|निकोलस कोपर्निकस
Neil Young|निल योङ
Pierre Corneille|पियरे कोेर्नेइले
Gabriel Gonzáles Videla|ग्यसब्रिएल गोन्जालेस भिदेला
Andrei Tarkovsky|आन्द्रेइ तार्कोभस्की
Plato|प्लेटो
Meryl Streep|मेराइल स्ट्रिप
Donald Tusk|डोनाल्ड टस्क
Andrei Sakharov|आद्रेइ साखारोभ
Narendra Modi|नरेन्द्र मोदी
Indira Gandhi|इन्दिरा गान्धी
Ban Ki-moon|वान कि मुन
Kofi Annan|कोफी अन्नान
Osama bin Laden|ओसामा बिन लादेन
Friedrich Hayek|फ्रेडरिक हायेक
Olivier Giroud|अोलिभर जिरु
Bacary Sagna|बाकारी साग्ना
Michel Platini|मिचेल प्लाटिनी
Emily Dickinson|एम्लि डिकिन्सन
Albrecht Dürer|अल्बर्क्ट डुरेर
Mao Zedong|माओ त्से-तुंग
Hebe Camargo|हेबे कामार्हो
Marie Curie|मारिया क्युरी
Dorothy Hodgkin|डोर्थी क्रोफट हडकिन
Grazia Deledda|ग्राजिया डेलेड्डा
Constantine the Great|कोन्स्टान्टिन महान
Peter the Great|पीटर महान
Archimedes|आर्किमिडिज
Sima Qian|सिमा किआन
Muhammad|मुहाम्मद
A. P. J. Abdul Kalam|अब्दुल कलाम
Salman Rashid Khan|सलमान खान
Martin Luther|मार्टिन लुथर
Richard Nixon|रिचार्ड निक्सन
Lisa Raymond|लिसा रेमन्ड
Thomas Jefferson|थोमस जेफर्सन
John Tyler|जोन टेलर
James K. Polk|जेम्स के. पोल्क
James Buchanan|जेम्स बुकानान
Inna|इन्ना
Charles Messier|चार्ल्स मेस्सियर
Lil Wayne|लिल व्यान
Montesquieu|शार्ल लुई मोन्टेस्क्ये
Bruce Lee|ब्रुस ली
Wen Jiabao|वेन जियाबाओ
Edgar Allan Poe|एड्गार एलेन पो
Pontius Pilatus|पोन्टियस पिलाटस
Xavi Hernández|जावी हर्नान्डेज
Laurie Holden|लरी होल्डेन
Edwin Mattison McMillan|एड्विन म्याकमिलन
Chester Bennington|चेस्टर बेनिंगटन
Oscar|ओस्कर
Steve Jobs|स्टिभ जब्स
Gustave Eiffel|गुस्ताभ इफेल
Bo Xilai|बो क्सिलाई
Stanley Bruce|स्टेन्ली ब्रुस
Jimmy Carter|जिमी कार्टर
Muhammad al-Jawad|मुहाम्मद अलजवाद
Whitney Stevens|ह्विट्नी स्टिभन्स
Hermann Hesse|हर्मन हेस्से
Klaas-Jan Huntelaar|क्लास-जान हन्टेलार
Taylor Swift|टेलर स्विफ्ट
Melvil Dewey|मेल्भिल डेवेय
Alvin Eliot Roth|एल्भिन ए रोथ
Avril Lavigne|एभ्रिल लेभिन्ज
Sonali Bendre|सोनाली बेन्द्रे
Malala Yousafzai|मलाला युसफजई
Theodore Roosevelt|थियोडोर रूजवेल्ट
Alexander Graham Bell|अलेक्ज्याण्डर ग्राहम बेल
Gwyneth Paltrow|गेनिथ पाल्ट्रो
Alexis Texas|एलेक्सिस टेक्सास
Aria Giovanni|एरिया जिओभानी
Alexander Fleming|अलेक्जेन्डर फ्लेमिङ
Robert Koch|रोबर्ट कोच
John Paul I|जोन पल प्रथम
Klaus Ebner|क्लाउस एब्नर
Mila Kunis|मिला कुनिज
Helen Keller|हेलेन केलर
Recep Tayyip Erdoğan|रजेप तैयप एर्दोगान
Dilma Rousseff|डिलमा रौसेफ
Doris Lessing|डोरिस लेसिङ्ग
Ludwig Mies van der Rohe|लुड्विग मिएस भ्यान डर रोहे
Rosa Parks|रोजा पार्क्स
Henri Bergson|हेनरी बर्गसन
Wisława Szymborska|विसलावा जिम्बोस्का
Fernando Torres|फर्नान्डो टोरेस
Dustin Hoffman|डस्टिन हफम्यान
Ivan Pavlov|इभान पाभ्लोभ
Angus Young|अन्गुस योउङ्ग
Rudolf Mössbauer|रुडोल्फ मोस्बाउएर
Randy Orton|रेन्डि अोर्टन
Mario Gómez|मारियो गोमेज
Robert Hooke|रोबर्ट हुक
Enrique Iglesias|एनरिक इग्लेसियस
Elfriede Jelinek|एलफ्रिड जेलीनेक
Víctor Valdés|भिक्टर भ्यालडेस
Catherine Zeta-Jones|क्याथरिन जिटा-जोन्स
Ernst Haeckel|अर्नस्ट हेकेल
Ilona Staller|इलोना स्टालर
Vitas Gerulaitis|भिटास गेरुलाइटिस
Bimal Roy|बिमल राय
Mehboob Khan|महबूब खान
Govind Sakharam Sardesai|गोबिन्द सखरम सरदेसाइ
Ferdinand Porsche|फर्डिनान्ड पोर्स्च
Abdullah of Saudi Arabia|साउदी अरेबियाका अब्दुल्लाह
Ali Khamenei|अली खामेनेइ
Antonis Samaras|एन्टोनिस समारस
Baburam Bhattarai|बाबुराम भट्टराई
Ernst Chain|अर्नेस्ट चेन
Liam Neeson|लियाम निसन
Max Born|म्याक्स बोेर्न
Gottlob Frege|गोट्लोब फ्रेज
Oskar Schindler|ओस्कार सिन्डलर
Genelia D'Souza|जेनेलिया डिसोजा
Sabrina Setlur|सब्रिना सेतलुर
Nathaniel Hawthorne|नाथानिएल हवथोर्न
Carl Wilhelm Scheele|कार्ल विल्हेम सिले
