Douglas Adams|ଡଗ୍‌ଲାସ୍‌ ଆଦାମ୍‌ସ
George W. Bush|ଜର୍ଜ ବୁଶ
Charles Baudelaire|ଚାର୍ଲସ୍ ପିଅର୍ ବଦେଲିଅର
Nicolaus Copernicus|ନିକୋଲାସ୍‌ କୋପର୍‌ନିକସ୍‌
Plato|ପ୍ଳାଟୋ
Narendra Modi|ନରେନ୍ଦ୍ର ମୋଦୀ
Indira Gandhi|ଇନ୍ଦିରା ଗାନ୍ଧୀ
Kofi Annan|କୋଫି ଆନ୍ନାନ
Osama bin Laden|ଓସାମା ବିନ ଲାଦେନ
Emily Dickinson|ଏମିଲି ଡିକିନସନ
Abu Nuwas|ଅବୁ ନୁବାସ
Marie Curie|ମେରୀ କ୍ୟୁରୀ
Archimedes|ଆର୍କମିଡ଼ିସ
Muhammad|ମହମ୍ମଦ
A. P. J. Abdul Kalam|ଏ.ପି.ଜେ. ଅବଦୁଲ କଲାମ
Salman Rashid Khan|ସଲମାନ ଖାନ
Harivansh Rai Bachchan|ହରିବଂଶ ରାୟ ବଚ୍ଚନ
Bruce Lee|ବ୍ରୁସ ଲୀ
Steve Jobs|ଷ୍ଟିଭ୍ ଜବ୍ସ୍
Jimmy Carter|ଜିମୀ କାର୍ଟର
Sonali Bendre|ସୋନାଲୀ ବେନ୍ଦ୍ରେ
Malala Yousafzai|ମଲାଲା ୟୁସୁଫଜାଇ
Baraguru Ramachandrappa|ବାରଗୁରୁ ରାମଚନ୍ଦ୍ରପା
Alexander Fleming|ଆଲେକ୍‌ଜାଣ୍ଡର ଫ୍ଲେମିଙ୍ଗ
Robert Koch|ରବର୍ଟ କଚ
Helen Keller|ହେଲେନ କେଲର
Ivan Pavlov|ଇଭାନ ପାଭ୍ଲଭ
Srinibash Udgata|ଶ୍ରୀନିବାସ ଉଦ୍‌ଗାତା
Bimal Roy|ବିମଳ ରାୟ
Mehboob Khan|ମହବୁବ ଖାନ
Satish Alekar|ସତିଶ ଆଲେକର
Narayan Gangaram Surve|ନାରାୟଣ ଗଙ୍ଗାରାମ ସୁର୍ବେ
Tryambak Shankar Shejwalkar|ତ୍ରୟମ୍ବକ ଶଙ୍କର ଶେଜ୍ୱଳକର
Pandurang Sadashiv Sane|ପାଣ୍ଡୁରଙ୍ଗ ସଦାଶିବ ସାନେ
Bal Samant|ବାଲ ସାମନ୍ତ
Genelia D'Souza|ଜେନେଲିଆ ଡିସୁଜା
Shripad Narayan Pendse|ଶ୍ରୀପଦ ନାରାୟଣ ପାଣ୍ଡସେ
Reinhold Rudenberg|ରେନ୍‌ହୋଲ୍ଡ ରଡ଼େନ୍‌ବର୍ଗ
Tenzing Norgay|ତେଞ୍ଜିଙ୍ଗ ନୋର୍ଗେ
Sher Shah Suri|ଶେର ଶାହ ସୁରୀ
Mirza Ghalib|ମିର୍ଜା ଗାଲିବ
Simonetta Sommaruga|ସିମୋନେଟା ସୋମାରୁଗା
Steve Irwin|ଷ୍ଟୀଭ ଇରୱିନ
Humphry Davy|ହମ୍ଫ୍ରୀ ଡେଭୀ
Sania Mirza|ସାନିଆ ମିର୍ଜା
Park Geun-hye|ପାର୍କ ଜେଉନ୍ନ ହାଏ
Mahasweta Devi|ମହାଶ୍ଵେତା ଦେବୀ
César Milstein|ସିଜାର୍ ମିଲ୍‌ଷ୍ଟେନ୍‌
Kirron Kher|କିରଣ ଖେର
Aruna Irani|ଅରୁଣା ଇରାନୀ
Manoj Bajpai|ମନୋଜ ବାଜପେୟୀ
Edward Gibbon|ଏଡ଼ୱାର୍ଡ ଗିବନ
Helen Clark|ହେଲେନ୍ କ୍ଲାର୍କ
Ramakrishna|ରାମକୃଷ୍ଣ ପରମହଂସ
Preity Zinta|ପ୍ରୀତି ଜିଣ୍ଟା
Carlos Saavedra Lamas|କାର୍ଲୋସ୍ ସାଭିଦ୍ରା ଲାମାସ୍‌
Andimuthu Raja|ଅନ୍ଦିମୁଥୁ ରାଜା
Chandrika Kumaratunga|ଚନ୍ଦ୍ରିକା କୁମାରତୁଙ୍ଗା
Hariprasad Chaurasia|ହରିପ୍ରସାଦ ଚୌରାଶିଆ
Eileen Collins|ଏଇଲିନ କୋଲ୍ଲୀନସ
Bhimrao Ramji Ambedkar|ଭୀମରାଓ ରାମଜୀ ଆମ୍ବେଦକର
Madhuri Dixit|ମାଧୁରୀ ଦୀକ୍ଷିତ
Atal Bihari Vajpayee|ଅଟଳ ବିହାରୀ ବାଜପେୟୀ
Luis Federico Leloir|ଲୁଇସ୍ ଫେଡେରିକୋ ଲେଲୋର୍‌
Lal Bahadur Shastri|ଲାଲ ବାହାଦୁର ଶାସ୍ତ୍ରୀ
Hina Rabbani Khar|ହିନା ରବାନି ଖର
Carly Fiorina|କାର୍ଲି ଫିଓରିନା
Chhotu Ram|ଛୋଟୁ ରାମ
Kasturba Gandhi|କସ୍ତୁରବା ଗାନ୍ଧୀ
Tirumalai Krishnamacharya|ତିରୁମଲାଈ କୃଷ୍ଣମଚାର୍ଯ୍ୟ
Charaka|ଚରକ
Dharamvir Bharati|ଧର୍ମ‌ବୀର ଭାରତୀ
Malaika Arora|ମଲାଇକା ଅରୋରା ଖାନ
B. Nagi Reddy|ବି. ନାଗି ରେଡ୍ଡୀ
Mirza Ghulam Ahmad|ମୀର୍ଜା ଘୁଲାମ ଅହମ୍ମଦ
Johan August Arfwedson|ଜୋହାନ୍ ଅଗଷ୍ଟସ ଆର୍ଫୱେଡ଼ସନ୍‌
Bimbisara|ବିମ୍ବିସାର
Fakhruddin Ali Ahmed|ଫଖରୁଦ୍ଦୀନ ଅଲୀ ଅହମଦ
Jamsetji Tata|ଜାମସେଦଜୀ ଟାଟା
Abhimanyu|ଅଭିମନ୍ୟୁ
Satish Dhawan|ସତୀଶ ଧବନ
Mary Kom|ମେରି କମ
Shruti Haasan|ଶୃତି ହାସନ
J. P. Dutta|ଜେ. ପି. ଦତ୍ତା
Nazrul Islam|ନଜରୁଲ ଇସଲାମ
Mandakini|ମନ୍ଦାକିନୀ
Thol. Thirumavalavan|ଥୋଲ. ଥିରୁମାବଲବନ
Motilal Nehru|ମୋତିଲାଲ ନେହେରୁ
Azim Premji|ଅଜିମ ପ୍ରେମଜୀ
Jogesh Pati|ଯୋଗେଶ ପତି
Mangal Pandey|ମଙ୍ଗଳ ପାଣ୍ଡେ
Akshaye Khanna|ଅକ୍ଷୟ ଖନ୍ନା
Soha Ali Khan|ସୋହା ଅଲି ଖାନ
Nayantara Sahgal|ନୟନତାରା ସହଗଲ
Saina Nehwal|ସାଇନା ନେହୱାଲ
Meena Kumari|ମୀନା କୁମାରୀ
Mira Nair|ମିରା ନାୟାର
Mahadevi Varma|ମହାଦେବୀ ବର୍ମା
Kiran Mazumdar-Shaw|କିରଣ ମଜୁମଦାର ସାହ
Ashwini Ponnappa|ଅଶ୍ବିନୀ ପୋନାପ୍ପା
Vijay Amritraj|ବିଜୟ ଅମୃତରାଜ
Asin|ଅସିନ
Karunanidhi|କରୁଣାନିଧି
Bhaskara-I|ଭାସ୍କର
Mohan Agashe|ମୋହନ ଆଗାଶେ
Christine Lagarde|କ୍ରିସ୍ଟିନ୍ ଲାଗ୍ରେଡ୍
Bina Rai|ବୀଣା ରାୟ
Angela Ahrendts|ଏଞ୍ଜେଲା ଏହାରେଣ୍ଡ୍ଶ୍
Tanuja Chandra|ତନୁଜା ଚନ୍ଦ୍ରା
Nur Jahan|ନୂରଜାହାନ
Sachin Bhowmick|ସଚିନ ଭୌମିକ
Thakazhi Sivasankara Pillai|ତକାଜି ଶିବଶଙ୍କର ପିଲ୍ଲେ
B. K. S. Iyengar|ବି କେ ଏସ ଆୟାଙ୍ଗାର
M. F. Husain|ଏମ ଏଫ ହୁସେନ
Jackie Shroff|ଜାକୀ ଶ୍ରଫ
Pulakeshin II|ପୁଲକେସି  II
Seth Rollins|ସେଥ୍ ରୋଲ୍ଲିନ୍ସ
Nandita Das|ନନ୍ଦିତା ଦାସ
U. R. Ananthamurthy|ୟୁ. ଆର. ଅନନ୍ତମୂର୍ତ୍ତୀ
Ashok Mehta|ଅଶୋକ ମେହଟା
Sanjay Gandhi|ସଞ୍ଜୟ ଗାନ୍ଧୀ
Pooja Bhatt|ପୂଜା ଭଟ୍ଟ
Vinod Dham|ବିନୋଦ ଧାମ
Chandragupta II|ଚନ୍ଦ୍ରଗୁପ୍ତ (ଦ୍ଵିତୀୟ)
Billy Arjan Singh|ବିଲ୍ଲୀ ଅର୍ଜନ ସିଂ
Sarah-Jane Dias|ସାରା-ଜେନ ଡାଏସ
Tapan Sinha|ତପନ ସିହ୍ନା
Ramesh Krishnan|ରମେଶ କୃଷ୍ଣନ
Ranil Wickremesinghe|ରାନିଲ ବିକ୍ରମସିଙ୍ଘେ
Siddhartha Shankar Ray|ସିଦ୍ଧାର୍ଥ ଶଙ୍କର ରାୟ
Byomkesh Tripathy|ବ୍ୟୋମକେଶ ତ୍ରିପାଠୀ
Chintamani Nagesa Ramachandra Rao|ଚିନ୍ତାମଣି ନାଗେଶ ରାମଚନ୍ଦ୍ର ରାଓ
Yasodharman|ଯଶୋଧର୍ମନ
Li Gotami Govinda|ଲି ଗୋତମୀ ଗୋବିନ୍ଦ
Laurie Baker|ଲରି ବେକର
Fabio Ulloa|ଫାବିଓ ଉଲୋରା
Kharavela|ଖାରବେଳ
Goparaju Ramachandra Rao|ଗୋପରାଜୁ ରାମଚନ୍ଦ୍ର ରାଓ
Manoj Kumar|ମନୋଜ କୁମାର
Kundan Lal Saigal|କୁନ୍ଦନ ଲାଲ ସାଇଗଲ
Girish Kasaravalli|ଗିରିଶ କସରଭଲ୍ଲି
Jagjivan Ram|ଜଗଜୀବନ ରାମ
Ashfaqulla Khan|ଅସଫାକଉଲ୍ଲା ଖାଁ
Vidhu Vinod Chopra|ବିଧୁ ବିନୋଦ ଚୋପ୍ରା
Muzaffar Ali|ମୁଜାଫର ଅଲି
Kalpana Saroj|କଳ୍ପନା ସରୋଜ
Jehangir Sabavala|ଜାହାଙ୍ଗିର ସାବାବାଲା
Majrooh Sultanpuri|ମଜରୂହ ସୁଲ୍‌ତାନପୁରୀ
Bombayla Devi Laishram|ବୋମ୍ବୟଲା ଦେବୀ ଲାଇଶ୍ରାମ
Sukumar Azhikode|ସୁକୁମାର ଆଝିକୋଡ଼େ
M. K. Narayanan|ଏମ କେ ନାରାୟଣନ
Sugriva|ସୁଗ୍ରୀବ
Sakshi Tanwar|ସାକ୍ଷୀ ତନୱର
U. Srinivas|ୟୁ ଶ୍ରୀନିବାସ
Raageshwari|ରାଗେଶ୍ଵରୀ
Paidi Jairaj|ପି. ଜୟରାଜ
Sadhana Sargam|ସାଧନା ସରଗମ
P. Susheela|ପି. ସୁଶୀଳା
Mohanlal|ମୋହନଲାଲ
Rajesh Roshan|ରାଜେଶ ରୋଶନ
Hansika Motwani|ହଂସିକା ମୋଟୱାନୀ
N. Ramani|ଏନ ରମଣୀ
Raghunath Murmu|ରଘୁନାଥ ମୁର୍ମୁ
Manoj Kumar|ମନୋଜ କୁମାର
Reema Sen|ରୀମା ସେନ
Mukesh|ମୁକେଶ
