George Washington|ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ
Douglas Adams|ਡਗਲਸ ਐਡਮਜ਼
George W. Bush|ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼
Diego Velázquez|ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ
Charles Baudelaire|ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ
Nicolaus Copernicus|ਨਿਕੋਲੌਸ ਕੋਪਰਨੀਕਸ
Pierre Corneille|ਪੀਅਰ ਕੌਰਨੀ
Andrei Tarkovsky|ਆਂਦਰੇਈ ਤਾਰਕੋਵਸਕੀ
Plato|ਅਫਲਾਤੂਨ
Meryl Streep|ਮੇਰਿਲ ਸਟਰੀਪ
Andrei Sakharov|ਆਂਦਰੇਈ ਸਖਾਰੋਵ
Narendra Modi|ਨਰਿੰਦਰ ਮੋਦੀ
Indira Gandhi|ਇੰਦਰਾ ਗਾਂਧੀ
Hector Berlioz|ਹੇਕਤੋਰ ਬੇਰਲੀਓਸ
Ban Ki-moon|ਬਾਨ ਕੀ ਮੂਨ
Kofi Annan|ਕੋਫ਼ੀ ਅੰਨਾਨ
Osama bin Laden|ਉਸਾਮਾ ਬਿਨ ਲਾਦੇਨ
Richard Wagner|ਰਿਚਰਡ ਵੈਗਨਰ
Olivier Giroud|ਓਲਿਵਰ ਗਿਰੌਦ
Hermann Maier|ਹਰਮਨ ਮਾਇਰ
Louis Aragon|ਲੂਈਸ ਆਰਾਗੋਨ
Michel Platini|ਮਿਸ਼ੇਲ ਪਲੈਟਿਨੀ
Emily Dickinson|ਐਮਿਲੀ ਡਿਕਨਸਨ
David Bowie|ਡੇਵਿਡ ਬੋਵੀ
Albrecht Dürer|ਆਲਬਰੈਖਤ ਡਿਉਰਰ
Katsushika Hokusai|ਕਾਤਸੁਸ਼ੀਕਾ ਹੋਕੁਸਾਈ
Abu Nuwas|ਅਬੂ ਨੁਵਾਸ
Matsuo Bashō|ਮਾਤਸੂਓ ਬਾਸ਼ੋ
Masaccio|ਮਸਾਚੋ
Mao Zedong|ਮਾਓ ਜ਼ੇ ਤੁੰਗ
Chuck Berry|ਚੱਕ ਬੇਰੀ
Søren Kierkegaard|ਸੋਰੇਨ ਕਿਰਕੇਗਾਰਦ
Marie Curie|ਮੈਰੀ ਕਿਉਰੀ
Simone de Beauvoir|ਸਿਮੋਨ ਦਾ ਬੋਵੁਆਰ
Sophocles|ਸੋਫੋਕਲਸ
Dorothy Hodgkin|ਡੋਰੋਥੀ ਹੋਜਕਿਨ
Ingmar Bergman|ਇੰਗਮਾਰ ਬਰਗਮਾਨ
Grazia Deledda|ਗਰਾਸੀਆ ਦੇਲੇਦਾ
Ivan IV Vasilyevich|ਇਵਾਨ ਭਿਅੰਕਰ
Constantine the Great|ਕੋਂਸਤਾਂਤੀਨ ਮਹਾਨ
Peter the Great|ਪੀਟਰ ਮਹਾਨ
Archimedes|ਆਰਕੀਮਿਡੀਜ਼
Sima Qian|ਸੀਮਾ ਕਿਆਨ
Arnold Palmer|ਅਰਨੌਲਡ ਪਾਮਰ
Muhammad|ਮੁਹੰਮਦ
A. P. J. Abdul Kalam|ਏ.ਪੀ.ਜੇ. ਅਬਦੁਲ ਕਲਾਮ
Salman Rashid Khan|ਸਲਮਾਨ ਖ਼ਾਨ
Martin Luther|ਮਾਰਟਿਨ ਲੂਥਰ
Harivansh Rai Bachchan|ਹਰਿਵੰਸ਼ ਰਾਏ ਬੱਚਨ
Richard Nixon|ਰਿਚਰਡ ਨਿਕਸਨ
Michael Schumacher|ਮਾਈਕਲ ਸ਼ੂਮਾਕਰ
Stephen Breyer|ਸਟੀਵਨ ਬ੍ਰੇਅਰ
Anne Hutchinson|ਐਨੀ ਹਚਿਨਸਨ
Thomas Jefferson|ਥਾਮਸ ਜੈਫ਼ਰਸਨ
John Tyler|ਜੌਹਨ ਟਾਈਲਰ
James K. Polk|ਜੇਮਜ਼ ਕੇ. ਪੋਕ
James Buchanan|ਜੇਮਸ ਬੁਕਾਨਾਨ
Émile Durkheim|ਏਮੀਲ ਦੁਰਖਿਮ
Montesquieu|ਮੋਨਟੀਸਕੀਵ
Bruce Lee|ਬਰੂਸ-ਲੀ
Edgar Allan Poe|ਐਡਗਰ ਐਲਨ ਪੋ
Sappho|ਸਾਫ਼ੋ
Anatoly Lunacharsky|ਅਨਾਤੋਲੀ ਲੂਨਾਚਾਰਸਕੀ
Steve Jobs|ਸਟੀਵ ਜੌਬਜ਼
Jimmy Carter|ਜਿੰਮੀ ਕਾਰਟਰ
Orson Welles|ਓਰਸਨ ਵੇਲਜ਼
Terry Gilliam|ਟੈਰੀ ਗਿਲੀਅਮ
Hermann Hesse|ਹਰਮਨ ਹੈਸ
Carol Greider|ਕੈਰੋਲ ਗਰਾਈਡਰ
Taylor Swift|ਟੇਲਰ ਸਵਿਫਟ
Draco|ਡਰੇਕੋ
Sonali Bendre|ਸੋਨਾਲੀ ਬੇਂਦਰੇ
Malala Yousafzai|ਮਲਾਲਾ ਯੂਸਫਜ਼ਈ
Baraguru Ramachandrappa|ਬਾਰਗੁਰੂ ਰਾਮਚੰਦਰੱਪਾ
Theodore Roosevelt|ਥਿਓਡੋਰ ਰੂਜ਼ਵੈਲਟ
Alexander Graham Bell|ਸਿਕੰਦਰ ਗ੍ਰਾਹਮ ਬੈੱਲ
Benjamin Franklin|ਬੈਂਜਾਮਿਨ ਫ਼ਰੈਂਕਲਿਨ
Denzil Ibbetson|ਡੇਨਜ਼ਿਲ ਇਬੇਸਨ
Alexander Fleming|ਅਲੈਗਜ਼ੈਂਡਰ ਫ਼ਲੈਮਿੰਗ
Robert Koch|ਰਾਬਰਟ ਕੋਚ
Donatello|ਦੋਨਾਤੇਲੋ
Helen Keller|ਹੈਲਨ ਕੈਲਰ
Nostradameus|ਨਾਸਟਰਡਾਮਸ
Dilma Rousseff|ਜਿਉਮਾ ਹੂਸੈਫ਼
