George Washington|जार्ज वाशिंगटन
George W. Bush|जार्ज डबल्यु बुश
Nicolaus Copernicus|निकोलस् कपरनिकस्
Plato|प्लातोन्
Narendra Modi|नरेन्द्र मोदी
Indira Gandhi|इन्दिरा गान्धिः
Kofi Annan|कोफी अन्नान
Osama bin Laden|ओसामा बिन् लाडेन्
Jacques Chirac|ज्याक शिराक
Wilhelm II|कैसर विल्हेम द्वितीय
Mao Zedong|माओ त्से-तुंग
Hebe Camargo|हेबे कामार्हो
Marie Curie|मेरी क्युरी
Sophocles|सोफोक्लेस
Dorothy Hodgkin|डारोति क्रोफट् हाज्किन्
Ingmar Bergman|इंगमार बर्गमान
Constantine the Great|कान्स्टण्टैन १
Peter the Great|पीटर महान
Archimedes|आर्किमिडीस्
Augustin-Louis Cauchy|कोषि अगस्टीन् लूयी
Muhammad|मुहम्मद्
A. P. J. Abdul Kalam|अब्दुल् कलामः
Salman Rashid Khan|सलमान खान
Martin Luther|मार्टिन लूथर
Harivansh Rai Bachchan|हरिवंश राय बच्चन
Tom Cleverley|टॉम क्लेवेर्ली
Thomas Jefferson|थामस् जेफरसन्
Émile Durkheim|ईमिली डर्खीम
Steve Jobs|स्टीव जाब्स
Hayam Wuruk|हयाम वुरुक
Malala Yousafzai|मलाला युसुफजई
Alexander Graham Bell|अलेग्झाण्डर् ग्रहां बेल्
Benjamin Franklin|बेंजामिन फ्रैंकलिन
Alexander Fleming|सर् अलेक्साण्डर् प्लेमिङ्ग्
Robert Koch|राबर्ट् कोख्
Helen Keller|हेलेन केलर
Edward Jenner|एड्वर्ड् जेन्नर्
Eva Perón|एवा पेरोन
Martin Scorsese|मार्टिन स्कोर्सेसे
Rosa Parks|रोजा पार्क्स
Ivan Pavlov|इवान् पेत्रोविच् पाव्लोव्
Antoni van Leeuwenhoek|अन्तोन् वान् ल्यूवेन् वोक्
Sitting Bull|बैठा बैल
Rudolf Mössbauer|रुडोल्फ मोसबेउर
Hans Christian Ørsted|हान्स कृस्टियन ओर्स्टेड
Behramji Malabari|बेहरामजी मलबारी
Robert Hooke|राबर्ट् हुक्
Leni Riefenstahl|लेनी रीफेन्स्टाल
Shreedhar Swami|श्रीधरस्वामिनः
Max von Laue|माक्स भोन् लु
Milarepa|मिलरेप
Caspar Friedrich Wolff|फ्रेडरिक क्यास्पर् वुल्फ्
Ajmal Kasab|अज्मल् कसब्
Abdurrahman Wahid|अब्दुर्रहमान वाहिद
J. Hans D. Jensen|जे हान्स डी जेन्सेन
Madhu Sudan|मधु सूदन
Luci van Org|लुसि वन् ओर्ग्
Mirza Ghalib|मिर्जा गालिब
Anne of Great Britain|एन
Krishnadevaraya|कृष्णदेवरायः
Charles II of England|चार्ल्स २
Charles Édouard Guillaume|चार्ल्स एडुआर्ड गुइल्लौमे
Steve Irwin|Steve irwin
Albert A. Michelson|अल्बर्ट ए मिकेल्सन
George II of Great Britain|जार्ज २
Sania Mirza|सानिया मिर्ज़ा
Nawaz Sharif|नवाझ् शरीफ्
James V of Scotland|जेम्स ५
Zacharias melotocas|जकारियस् जान्सन्
Norman Borlaug|नार्मन् बोर्लाग्
Louis Néel|लुइ नील
Eugene Wigner|यूजीन विग्नर
Russell Alan Hulse|रसेल ए हल्से
Kirron Kher|किरण खेर
John Napier|जाह्न नापियर्
Edward Gibbon|एडवार्ड गिबन
Lady Jane Grey|जेन
William Shockley|विलियम शाक्ली
Javier Hernández|जेवियर् हर्नाण्डेज्
Carl David Anderson|कार्ल डी एन्डरसन
Andreas Vesalius|आण्ड्रियेस् वेसेलियस्
Bāṇabhaṭṭa|बाणभट्टः
Pyotr Kapitsa|प्योट्र कापिट्सा
Ramakrishna|श्रीरामकृष्णपरमहंसः
Edward Mills Purcell|इ एम पर्सेल
Walter Houser Brattain|वाल्टर एच ब्राट्टेन
Jerome Isaac Friedman|जेरोम आइ फ्रीदमन
Danny Welbeck|डैनी वेल्बेक
Kenneth G. Wilson|केनेथ जी विल्सन
Hariprasad Chaurasia|हरिप्रसादः चौरासिया
René Laennec|आर् लेनेक् मानारल्
Bhimrao Ramji Ambedkar|बि.आर्.अम्बेड्करः
Madhuri Dixit|माधुरी दीक्षित्
Atal Bihari Vajpayee|अटलबिहारीवाजपेयी
Elizabeth Blackwell|एलिजबेत् ब्ल्याक्वेल्
Lal Bahadur Shastri|लालबहादुरशास्त्री
Anders Lindegaard|ऐन्डर्स लिनडेगार्ड
Kasturba Gandhi|कस्तूरबा
Tirumalai Krishnamacharya|टी.के.वी. देसिकाचार
Charaka|चरकः
Dharamvir Bharati|धर्मवीर भारती
Bimbisara|बिम्बिसारः
Fakhruddin Ali Ahmed|फखरुद्दीन अली अहमद
Jamsetji Tata|जमशेतजी टाटा
Atisha Dipankara|अतिश
Abhimanyu|अभिमन्युः
Satish Dhawan|सतीश धवन
Mary Kom|मेरी कोम्
Shruti Haasan|श्रुति हासन
Nazrul Islam|काजी नज़रुल् इस्लाम्
Lokaksema|Lokakṣema
Motilal Nehru|मोतीलालनेहेरुः
Azim Premji|अजीम प्रेमजी
Mangal Pandey|मङ्गल पाण्डेयः
Akshaye Khanna|अक्षयखन्ना
Guru Amar Das|गरु अमर दास
Candrakīrti|Candrakīrti
Saina Nehwal|सैना नेह्वाल्
Mahadevi Varma|महादेवी वर्मा
Noor Jehan|नूरजहान्
Vijay Amritraj|विजय् अमृत् राज्
Ali Akbar Khan|अलि अक्बर् खानः
Karunanidhi|करुणानिधिः
Edward Balliol|एडवर्ड बालियोल
Anthony Mackie|एंथनी मैकी
Muna AbuSulayman|ंउन आबुशुलय्मन्
Śāntarakṣita|Śāntarakṣita
B. K. S. Iyengar|बी.के.एस. अयंगार
M. F. Husain|मकबूल फिदा हुसेन
Edward VIII|एडवर्ड ८
Pulakeshin II|द्वितीयपुलिकेशिः
