George Washington|ᱡᱚᱨᱡᱽ ᱚᱣᱟᱥᱤᱝᱴᱚᱱ
George W. Bush|George W. Bush
Nicolaus Copernicus|ᱱᱤᱠᱚᱞᱟᱥ ᱠᱚᱯᱚᱨᱱᱤᱠᱚᱥ
Plato|ᱯᱞᱟᱴᱚ
Narendra Modi|ᱱᱚᱨᱮᱱᱫᱨᱚ ᱢᱚᱫᱤ
Indira Gandhi|ᱤᱸᱫᱽᱨᱟ ᱜᱟ.ᱱᱫᱷᱤ
Kofi Annan|ᱠᱚᱯᱷᱤ ᱟᱱᱟᱱ
Osama bin Laden|ᱳᱥᱟᱢᱟ ᱵᱤᱱ ᱞᱟᱫᱮᱱ
Albrecht Dürer|ᱟᱞᱵᱨᱮᱪᱴ‌ ᱰᱩᱨᱮᱨ
Katsushika Hokusai|ᱦᱳᱠᱩᱥᱟᱭ
Abu Nuwas|ᱟᱵᱩ ᱱᱩᱣᱟᱥ
Matsuo Bashō|ᱵᱟᱥᱳ
Mao Zedong|ᱢᱟᱣ ᱡᱮᱫᱚᱝ
Marie Curie|ᱢᱮᱨᱤ ᱠᱭᱩᱨᱤ
Sophocles|ᱥᱚᱯᱚᱠᱞᱮᱥ
Peter the Great|ᱯᱮᱴᱟᱨ ᱫᱟ ᱜᱨᱮᱴ
Archimedes|ᱟᱨᱠᱢᱮᱰᱤᱥ
Muhammad|ᱢᱩᱦᱟᱢᱢᱚᱫᱽ
A. P. J. Abdul Kalam|ᱮᱹᱯᱤᱹᱡᱮᱹ ᱚᱵᱽᱫᱩᱞ ᱠᱚᱞᱟᱢ
Salman Rashid Khan|ᱥᱚᱞᱢᱟᱱ ᱠᱷᱟᱱ
Martin Luther|ᱢᱟᱨᱴᱤᱱ ᱞᱩᱛᱷᱟᱨ
Steve Jobs|ᱥᱴᱤᱵᱷ ᱡᱚᱵᱽᱥ
Malala Yousafzai|ᱢᱚᱞᱟᱞᱟ ᱭᱩᱥᱩᱯᱷᱡᱟᱭᱤ
Toshirō Mifune|ᱛᱚᱥᱤᱨᱚ ᱢᱤᱯᱷᱩᱱᱮ
Helen Keller|ᱦᱮᱞᱮᱱ ᱠᱮᱞᱟᱨ
Recep Tayyip Erdoğan|ᱨᱤᱥᱮᱯ ᱛᱟᱭᱤᱯ ᱮᱨᱫᱚᱶᱟᱱ
Mohd Zakry Abdul Latif|Mohd Zakry Abdul Latif
Shanta Shelke|ᱥᱟᱱᱛᱟ ᱥᱮᱞᱠᱮ
Sam Magee|Sam Magee
Johann Eck|Johannes Eck
Iris Tabeling|Iris Tabeling
Genelia D'Souza|ᱡᱮᱱᱮᱞᱤᱭᱟ ᱰᱤᱥᱳᱡᱟ
Pierre Vogel|Pierre Vogel
Wolfgang Schomburg|Wolfgang Schomburg
Andre Kurniawan Tedjono|Andre Kurniawan Tedjono
