Nicolaus Copernicus|ڪوپرنيڪس
Plato|افلاطون
Narendra Modi|نريندر مودي
Indira Gandhi|اندرا گانڌي
David Bowie|David Bowie
Matsuo Bashō|باشو
Mao Zedong|مائوزي تنگ
Søren Kierkegaard|ڪيئر ڪيڪارڊ
Marie Curie|مادام ڪیوري
Archimedes|ارشميدس
Muhammad|محمد
Salman Rashid Khan|سلمان خان
Harivansh Rai Bachchan|هري ونش بچن
Muḥammad ibn Jābir al-Ḥarrānī al-Battānī|جابر بن سنان البتاني
Sappho|سئفو
Muhammad al-Jawad|محمد تقي
Malala Yousafzai|ملالہ یوسفزئي
Alexander Graham Bell|اليگزينڊر گراھم بيل
Klaus Ebner|ڪلاوس ابنر
Helen Keller|هيلن ڪيلر
Leif Erikson|ليف ايرڪسن
Abdullah of Saudi Arabia|عبدالله بن عبدالعزيز
Ali Khamenei|آيت الله خامنائي
Annemarie Schimmel|ڊاڪٽر ائينيمري شمل
John Milton|جان ملٽن
Khushal Khan Khattak|خوشحال خان خٽڪ
Mirza Ghalib|مرزا اسد الله خان غالب
Sami Solanki|سمي سولنڪي
Zulfiqar Ali Bhutto|ذوالفقار علي ڀٽو
Sania Mirza|ثانيا مرزا
Nawaz Sharif|نواز شريف
Ardeshir Cowasjee|اردشير ڪائوسجي
Aruna Irani|ارونا ايراني
Eugene Cernan|يوجين چرنان
Al-Farabi|الفارابي
T. E. Lawrence|لارنس آف عربيه
E. M. Forster|اي. ايم فاسٽر
Ayub Khan|محمد ايوب خان
Amir Khosrow|امير خسرو
Tansu Çiller|تانسو چلر
Bhimrao Ramji Ambedkar|بي آر امبيدڪر
Mumtaz Mahal|ممتاز محل
Emily VanCamp|ايملي وان ڪيمپ
Emilia Clarke|اميليا ڪلارڪ
Lal Bahadur Shastri|لال بهادر شاستري
Imam Shamil|شاھ ميل
Hina Rabbani Khar|حنا رباني کر
Hafsa bint Umar|حفصه بنت عمر
Praxilla|پراڪسيلا
Umar II|عمر دوم
Abu al-Qasim al-Zahrawi|ابو الڪسيس الزھراوي
Henry Petty-Fitzmaurice, 5th Marquess of Lansdowne|لينس ڊائون
Ibn Hawqal|ابن حوقل
Ibn Khordadbeh|ابن خردازبه
Shahid Afridi|شاهد آفريدي
Faiz Ahmad Faiz|فيض احمد فيض
Shah Waliullah|شاهه ولي الله
`Abd Allah ibn `Abbas|عبد الله بن عباس
Alexander Cunningham|اليگزينڊر ڪننگھام
Ibn Taymiyyah|ابن تيميه
Seeta Devi|سيتا ديوي (اداڪارڻ)
Nur Jahan|نورجهان
Bahadur Shah I|بھادر شاھ پھريون
Junayd of Baghdad|جنيد بغدادي
Wahb ibn 'Abd Manaf|وهب بن عبد مناف
Shah Abdul Latif Bhittai|شاهه عبداللطيف ڀٽائي
Insha Allah Khan|انشاء الله خان
Leo Varadkar|ليو ورادڪر
Mus'ab ibn al-Zubayr|مصعب بن الزبیر
Umm Kulthum bint Muhammad|ام ڪلثوم بنت محمد
