George Washington|சியார்ச் வாசிங்டன்
Douglas Adams|டக்ளஸ் ஆடம்ஸ்
Paul Otlet|பவுல் ஓட்லெட்
George W. Bush|ஜார்ஜ் வாக்கர் புஷ்
Diego Velázquez|டியேகோ வெலாஸ்க்குவெஸ்
Augusto Pinochet|அக்ஸ்தோ பினோசெட்
Charles Baudelaire|சார்ல் போதலேர்
Nicolaus Copernicus|நிக்கோலாஸ் கோப்பர்னிக்கஸ்
Neil Young|நீல் யங்
Pierre Corneille|பியேர் கொர்னியெல்
Gabriel Gonzáles Videla|கேப்ரியெல் கொன்சாலெஸ் விடெலா
Andrei Tarkovsky|ஆன்டிரே டார்கொப்ஸ்கி
Plato|பிளேட்டோ
Meryl Streep|மெரில் ஸ்ட்ரீப்
Donald Tusk|டொனால்டு டஸ்க்
Andrei Sakharov|அன்ட்ரே சகராவ்
Italo Balbo|இடலோ பல்போ
Narendra Modi|நரேந்திர மோடி
Indira Gandhi|இந்திரா காந்தி
Hector Berlioz|ஹெக்டர் பேர்லியோஸ்
Oscar Luigi Scalfaro|ஆஸ்கர் லுயிஜி ஸ்கால்ஃபரோ
Ban Ki-moon|பான் கி மூன்
Kofi Annan|கோபி அன்னான்
Osama bin Laden|உசாமா பின் லாதின்
Friedrich Hayek|பிரீட்ரிக் கையக்
Titus|டைடஸ்
Richard Wagner|ரிச்சார்ட் வாக்னர்
Ramesses I|முதலாம் ராமேசஸ்
Olivier Giroud|ஒலிவியர் ஜிரூட்
Jacques Chirac|ஜாக் சிராக்
Ludwig Erhard|லட்விக் எர்ஹார்ட்
Helmut Kohl|ஹெல்மட் கோல்
Richard von Weizsäcker|ரிச்சர்ட் வான் வெயிஸ்சாக்கர்
Willi Stoph|வில்லி ஸ்டாப்
Wilhelm II|இரண்டாம் வில்லியம்
V. P. Kalairajan|கலைராஜன்
Ramesses IX|ஒன்பதாம் ராமேசஸ்
Michel Platini|மிச்செல் பிளாட்டினி
Emily Dickinson|எமிலி டிக்கின்சன்
Mitt Romney|மிட் ராம்னி
David Bowie|டேவிட் போவி
Albrecht Dürer|ஆல்பிரெஃக்ட் டியுரே
Katsushika Hokusai|ஒக்குசாய்
Abu Nuwas|அபு நுவாஸ்
Matsuo Bashō|மட்சுவோ பாஷோ
Masaccio|மசாச்சியோ
Mao Zedong|மா சே துங்
Søren Kierkegaard|கிர்க்கெகார்டு
Marie Curie|மேரி கியூரி
Simone de Beauvoir|சிமோன் ட பொவார்
Ziying|சியிங்
Sophocles|சாஃபக்கிளீசு
Dorothy Hodgkin|டோரதி ஓட்ச்கின்
Ögedei Khan|ஒகோடி கான்
Ingmar Bergman|இங்மார் பேர்ஜ்மன்
Ivan IV Vasilyevich|உருசியாவின் நான்காம் இவான்
Constantine the Great|முதலாம் கான்ஸ்டன்டைன்
Peter the Great|ரஷ்யாவின் முதலாம் பீட்டர்
Yesün Temür Khan|எசுன் தெமுர் கான்
Ragibagh Khan|ரகிபக் கான்
Archimedes|ஆர்க்கிமிடீஸ்
Augustin-Louis Cauchy|அகுஸ்டின்-லூயி கோசி
Sima Qian|சிமா சியான்
Arnold Palmer|ஆர்னால்ட் பால்மர்
Muhammad|முகம்மது நபி
A. P. J. Abdul Kalam|ஆ. ப. ஜெ. அப்துல் கலாம்
Salman Rashid Khan|சல்மான் கான்
Martin Luther|மார்ட்டின் லூதர்
Harivansh Rai Bachchan|ஹரிவன்சராய் பச்சன்
Richard Nixon|ரிச்சர்ட் நிக்சன்
Michael Schumacher|மைக்கேல் சூமாக்கர்
Fulgencio Batista|புல்ஜென்சியோ பாட்டிஸ்ட்டா
Thomas Jefferson|தாமஸ் ஜெஃவ்வர்சன்
John Tyler|ஜான் டைலர்
James K. Polk|ஜேம்ஸ் போக்
James Buchanan|ஜேம்ஸ் புகேனன்
William Herschel|வில்லியம் ஹேர்ச்செல்
Charles Messier|சார்லசு மெசியர்
Lil Wayne|லில் வெய்ன்
Émile Durkheim|எமில் டேர்க்கேம்
Montesquieu|மான்டெஸ்கியூ
Charles K. Kao|சார்லசு காவோ
Bruce Lee|புரூஸ் லீ
Wen Jiabao|வென் ஜியாபாவோ
Edgar Allan Poe|எட்கர் ஆலன் போ
Pontius Pilatus|பொந்தியு பிலாத்து
Xavi Hernández|சேவியர் எர்னாண்டசு
Kathleen Antonelli|கத்லீன் அந்தோனெல்லி
Sappho|சாஃபோ
Theo de Raadt|தியோ டோ ரட்
Edwin Mattison McMillan|எட்வின் மெக்மிலன்
Amenemhat IV|நான்காம் அமெனம்ஹத்
Oscar|ஒஸ்கார்
Steve Jobs|ஸ்டீவ் ஜொப்ஸ்
Juan Carlos I|முதலாம் வான் கார்லோஸ்
George Biddell Airy|ஜார்ஜ் பிடெல் ஏரி
Gustave Eiffel|அலெக்சாந்தர் கஸ்டவ் ஈபல்
Ricky Gervais|ரிக்கி கேர்வைஸ்
Jimmy Carter|ஜிம்மி கார்ட்டர்
Lila Downs|லிலா டெளன்சு
Terry Gilliam|டெர்ரி கிலியம்
Hermann Hesse|ஹேர்மன் ஹெசே
Carlos PenaVega|கார்லோஸ் பேனா
Carol Greider|கரோல் கிரெய்டர்
Taylor Swift|டேலர் ஸ்விஃப்ட்
Melvil Dewey|மெல்வில் தூவி
Scott Adkins|ஸ்காட் அட்கின்ஸ்
Alvin Eliot Roth|ஆல்வின் ரோத்
Hayam Wuruk|ஹயாம் புரூக்
Caroline Wozniacki|கரோலின் வோஸ்னியாக்கி
Sonali Bendre|சோனாலி பிந்த்ரே
Malala Yousafzai|மலாலா யூசப்சையி
Theodore Roosevelt|தியொடோர் ரோசவெல்ட்
Alexander Graham Bell|அலெக்சாண்டர் கிரகாம் பெல்
Gwyneth Paltrow|க்வினெத் பேல்ட்ரோ
Benjamin Franklin|பெஞ்சமின் பிராங்கிளின்
Toshirō Mifune|டோஷிரோ மிபூன்
Alexander Fleming|அலெக்சாண்டர் பிளெமிங்
Alice Everett|அலைசு எவரெட்
Robert Koch|ராபர்ட் கோக்
John Paul I|முதலாம் ஜான் பால்
Klaus Ebner|கிளாஸ் எப்னர்
Luciano Pavarotti|லூசியானோ பாவ்ராட்டி
Mila Kunis|மிலா குனிஸ்
Helen Keller|ஹெலன் கெல்லர்
Enya|என்யா
Recep Tayyip Erdoğan|ரசிப் தைய்யிப் எர்டோகன்
Ptolemy IV Philopator|நான்காம் தாலமி
Nostradameus|நோஸ்ராடாமஸ்
Chandra Wilson|சந்திரா வில்சன்
Dilma Rousseff|டில்மா ரூசெஃப்
Edward Jenner|எட்வர்ட் ஜென்னர்
Doris Lessing|டோரிஸ் லெஸ்சிங்
Eva Perón|இவா பெரோன்
Daniel Defoe|டானியல் டீஃபோ
Martin Scorsese|மார்ட்டின் ஸ்கோர்செசி
Michael Jordan|மைக்கல் ஜார்டன்
Ludwig Mies van der Rohe|லுட்விக் மீஸ் வான் டெர் ரோ
Rosa Parks|றோசா பாக்ஸ்
Democritus|டெமோக்கிரட்டிசு
Henri Bergson|என்றி பெர்குசன்
Wisława Szymborska|விஸ்லவா சிம்போர்ஸ்கா
Leif Erikson|லீப் எரிக்சன்
Ivan Pavlov|இவான் பாவ்லோவ்
Antoni van Leeuwenhoek|ஆன்டன் வான் லீவன்ஹூக்
Sitting Bull|வீற்றிருக்கும் எருது
Ambrose|அம்புரோசு
Leo XIII|பதின்மூன்றாம் லியோ
Ignatius of Loyola|லொயோலா இஞ்ஞாசி
Rudolf Mössbauer|ரூடால்ஃப் மாஸ்பவர்
Hans Christian Ørsted|ஆன்சு கிருத்தியான் ஆர்ஸ்டெட்
Ray Lewis|ரே லூயிஸ்
Randy Orton|ரேண்டி ஆர்டன்
Eduardo Galeano|எதுவார்தோ காலியானோ
Peter Canisius|பீட்டர் கனிசியு
Francisco Pizarro|பிரான்சிஸ்கோ பிசாரோ
Robert Hooke|ராபர்ட் ஹூக்
I. M. Pei|ஐ. எம். பேய்
Khaled Mashal|காலித் மசால்
Enrique Iglesias|என்றீக் இக்லெசியாசு
Sylvester I|முதலாம் சில்வெஸ்தர்
Elfriede Jelinek|எல்ஃபிரெட் எலினெக்
Catherine Zeta-Jones|கேதரின் ஜீடா-ஜோன்ஸ்
Ernst Haeckel|ஏர்ன்ஸ்ட் ஹேக்கல்
Charles XIV John of Sweden|காருல் யோவான்
Jeff Daniels|ஜெஃப் டானியல்சு
Robert Altman|ராபர்ட் ஆல்ட்மன்
Mohsen Makhmalbaf|மோசன் மக்மால்பஃப்
Leni Riefenstahl|லெனி ரீபென்ஸ்டால்
Govind Sakharam Sardesai|கோவிந்த் சகாராம் சர்தேசாய்
A. H. Salunkhe|எ. ஹ. சலுன்கே
Darleane C. Hoffman|டார்லீன் சி. ஆப்மேன்
Max von Laue|மேக்ஸ் வோன் உலோ
Daniel Gabriel Fahrenheit|டானியல் ஃபேரென்ஃகைட்
Karl Weierstraß|கார்ல் வியர்ஸ்ட்ராஸ்
Friedrich Georg Wilhelm von Struve|பிரீட்ரிக் வில்கெல்ம் வான் சுத்ரூவ
Yoweri Museveni|யோவேரி முசவேனி
Traian Băsescu|திரையன் பாசேசுக்கு
Abdullah of Saudi Arabia|சவூதி அரேபியாவின் அப்துல்லாஹ் இப்னு அப்துல் அசீஸ்
Andry Rajoelina|ஆண்ட்ரி ராசொய்லினா
Otto Pérez Molina|ஒட்டோ பெரெஸ் மொலினா
Yingluck Shinawatra|யிங்லக் சினாவத்ரா
Essam Sharaf|எசாம் சரஃப்
Hamadi Jebali|அமாதி ஜெபாலி
