George Washington|జార్జి వాషింగ్టన్
Douglas Adams|డగ్లస్ ఆడమ్స్
George W. Bush|జార్జ్ వాకర్ బుష్
Charles Baudelaire|చార్లెస్ బాడిలేర్
Nicolaus Copernicus|నికోలాస్ కోపర్నికస్
Neil Young|నెయిల్ యంగ్
Plato|ప్లేటో
Andrei Sakharov|ఆండ్రెయి సఖరోవ్
Narendra Modi|నరేంద్ర మోడి
Indira Gandhi|ఇందిరా గాంధీ
Ban Ki-moon|బాన్ కి-మూన్
Kofi Annan|కోఫీ అన్నన్
Osama bin Laden|ఒసామా బిన్ లాదెన్
Richard Wagner|రిచర్డ్ వాగ్నెర్
Louis Aragon|లూయిస్ అరగోన్
Stefanie Heinzmann|స్టెఫనీ హెయింజ్‌మెన్
Mitt Romney|మిట్ రోమ్నీ
David Bowie|డేవిడ్ బౌవీ
Abu Nuwas|అబూ నువాస్
Mao Zedong|మావో జెడాంగ్
Mariya Savinova|మారియా సవినోవా
Marie Curie|మేరీ క్యూరీ
Simone de Beauvoir|సైమన్ డి బ్యువొయిర్
Dorothy Hodgkin|డొరొతి హోద్గ్కిన్
Ingmar Bergman|ఇంగ్మార్ బెర్గ్మాన్
Grazia Deledda|గ్రేజియా డెలెడా
Constantine the Great|కాన్‌స్టాంటిన్ ద గ్రేట్
Archimedes|ఆర్కిమెడిస్
Sima Qian|సీమా క్వియాన్
Muhammad|ముహమ్మద్ ప్రవక్త
A. P. J. Abdul Kalam|ఏ.పి.జె. అబ్దుల్ కలామ్
Salman Rashid Khan|సల్మాన్ ఖాన్
Martin Luther|మార్టిన్ లూథర్
Harivansh Rai Bachchan|హరివంశ్ రాయ్ బచ్చన్
Edith Hannam|ఎడిత్ హన్నం
Lisa Raymond|లీసా రేమండ్
Rachel Yankey|రేచెల్ యాంకీ
Thomas Jefferson|థామస్ జెఫర్సన్
James Buchanan|జేమ్స్ బుకానన్
William Herschel|విలియం హెర్షెల్
Émile Durkheim|ఎమైల్ దుర్క్ హైం
Montesquieu|మాంటెస్క్యూ
Charles K. Kao|చార్లెస్ కె. కావ్
