George Washington|جارج واشنگٹن
Douglas Adams|ڈگلس ایڈم
George W. Bush|جارج ڈبلیو بش
Diego Velázquez|ڈیگو ولازکوئز
Augusto Pinochet|آگسٹو پنوشے
Nicolaus Copernicus|نکولس کوپرنیکس
Plato|افلاطون
Meryl Streep|میرل اسٹریپ
Andrei Sakharov|آندرے سخاروف
Narendra Modi|نریندر مودی
Indira Gandhi|اندرا گاندھی
Hector Berlioz|ہیکٹر برلیوز
Ban Ki-moon|بان کی مون
Kofi Annan|کوفی عنان
Osama bin Laden|اسامہ بن لادن
Friedrich Hayek|فریڈریک ہایک
Otho|اوتھو
Titus|ٹائٹس
Richard Wagner|رچرڈ واگنر
Djibril Cissé|جبریل سیسے
Bacary Sagna|باکاری سانا
Richard von Weizsäcker|رچرڈ وون وائسزاکر
Emily Dickinson|ایملی ڈکنسن
Mitt Romney|مٹ رومنی
Claude Debussy|کلاؤ دیبوسی
David Bowie|ڈیوڈ بوئی
Albrecht Dürer|البرشت ڈورر
Katsushika Hokusai|ہوکوسائی
Abu Nuwas|ابو نواس
Matsuo Bashō|ماتسو باشو
Philippe Pétain|مارشل پیتاں
Mao Zedong|ماؤ زے تنگ
Marie Curie|میری کیوری
Simone de Beauvoir|سیمون دی بووار
Sophocles|سوفوکلیز
Dorothy Hodgkin|ڈوروتھی ہودگکنگ
Ögedei Khan|اوکتائی خان
Ingmar Bergman|انگمار برگمان
Grazia Deledda|گیزیا ڈلیڈا
Ivan IV Vasilyevich|ایوان چہارم
Constantine the Great|قسطنطین اعظم
Peter the Great|پیٹر اعظم
Archimedes|ارشمیدس
Sima Qian|سیما چیان
Muhammad|محمد بن عبداللہ
A. P. J. Abdul Kalam|عبد الکلام
Salman Rashid Khan|سلمان خان
Martin Luther|مارٹن لوتھر
Harivansh Rai Bachchan|ہری ونش بچن
Richard Nixon|رچرڈ نکسن
Michael Schumacher|مائیکل شوماکر
Alain Prost|الین پروسٹ
Muḥammad ibn Jābir al-Ḥarrānī al-Battānī|جابر بن سنان البتانی
Thomas Jefferson|ٹامس جیفرسن
John Tyler|جان ٹائلر
James K. Polk|جیمز کے پوک
James Buchanan|جیمز بکانن
Mouhamadou Dabo|محمدو دابو
Charles K. Kao|چارلس کے کاؤ
Bruce Lee|بروس لی
Wen Jiabao|وین جیاباؤ
Edgar Allan Poe|ایڈ گرایلن پو
Pontius Pilatus|پیلاطس
Sappho|صافو
Edwin Mattison McMillan|ایڈون مکملن
Steve Jobs|سٹیو جابز
Bo Xilai|بو ژلائی
Zhu De|ژو دے
Jimmy Carter|جمی کارٹر
Orson Welles|اورسن ویلز
Muhammad al-Jawad|محمد تقی
Whitney Stevens|وٹنی سٹیونز
Hermann Hesse|ہرمن ہسی
Carol Greider|کارول ڈبلیو. گریڈر
Taylor Swift|ٹیلر سوئفٹ
Muhammad Al-Sabah|محمد بن صباح الصباح
Alvin Eliot Roth|الون اے روتھ
Thomas Boni Yayi|تھامس بونی یایی
Avril Lavigne|اوریل لاوین
Bailey Jay|بیلی جے
Sonali Bendre|سونالی باندرے
Bilge Tegin|بیلجاتگین
Malala Yousafzai|ملالہ یوسفزئی
Theodore Roosevelt|تھیوڈور روزویلٹ
Alexander Graham Bell|الیگزنڈر گراہم بیل
Gwyneth Paltrow|گوینتھ پالٹرو
Benjamin Franklin|بنجمن فرینکلن
Thomas Pynchon|تھامس پنچن
Akiho Yoshizawa|اکیہو ہوشیزاوا
Benjamin Harrison|بنجمن ہیریسن
Alexis Texas|الیکسس ٹیکساس
Aria Giovanni|آریا جیووانی
Toshirō Mifune|توشيرو ميفوني
Alexander Fleming|الیگزنڈر فلیمنگ
Robert Koch|رابرٹ کوچ
John Paul I|جان پال اول
Klaus Ebner|کلاوس ابنر
Donatello|ڈوناٹیلو
Luciano Pavarotti|لوچانو پاواروتی
Helen Keller|ہیلن کیلر
Romano Prodi|رومانو پروڈی
Recep Tayyip Erdoğan|رجب طیب ایردوان
Johann Ludwig Burckhardt|جان لوئیس برکھارٹ
Nostradameus|نوسٹرا ڈیمس
Dilma Rousseff|ڈلما روسیف
Edward Jenner|ایڈورڈ جینر
Doris Lessing|ڈورس لیسنگ
Eva Perón|ایویٹا
Michael Jordan|مائیکل جیفری جارڈن
Thucydides|تھوسی ڈائڈز
Rosa Parks|روزا پارکس
Democritus|دی مقراطیس
Henri Bergson|ہنری برگساں
Wisława Szymborska|وسلاوا سزائم بورکا
Leif Erikson|لیف ایرکسن
Ivan Pavlov|ایوا پیولو
Antoni van Leeuwenhoek|انتونی وین لیونہوک
Ambrose|ایمبروس
Leo XIII|بطریق اعظم لیو سیزدہم
Rudolf Mössbauer|روڈولف موسباور
Randy Orton|رینڈی اورٹن (پہلوان)
Francisco Pizarro|فرانسسکو پیزارو
Jack London|جیک لندن
Khaled Mashal|خالد مشعل
Elfriede Jelinek|الفرڈ جیلنک
Ivo Andrić|ایواینڈرک
Catherine Zeta-Jones|کیتھرین زیٹا جونز
Richard Laurence Millington Synge|رچرڈ لاورنس ملنگٹن سنجی
Dan Quayle|ڈین کوئیل
Walter Mondale|والٹر مونڈیل
Robert Nivelle|رابرٹ نیویل
Enver Hoxha|انور خوجا
Bimal Roy|بمل رائے
Mehboob Khan|محبوب خان
Narayan Waman Tilak|ناراین وامن تلک
Tryambak Shankar Shejwalkar|ٹی ایس شیجوالکر
Ivo Sanader|آئیوو سنیڈر
Max von Laue|میکس وون لیو
Adolf von Baeyer|ایڈولف وان بایر
Yoweri Museveni|یووری موسیونی
Abdullah of Saudi Arabia|عبداللہ بن عبدالعزیز
Jalal Talabani|جلال طالبانی
Ali Khamenei|سید علی خامنہ ای
Jakaya Mrisho Kikwete|جاکایا کیکویتے
Yingluck Shinawatra|ینگلک شنواترا
Hamadi Jebali|حمادی جبالی
Ernst Chain|ارنسٹ بوری چین
Saud bin Faisal bin Abdulaziz Al Saud|سعود الفیصل
Abhijeet Montgomery Lawrence|ہنری منٹگمری لارنس
Liam Neeson|لیام نیسن
